"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2018&sourcekey=0"
"Wed Jan 23 2019 09:21:41 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Total,"Energy Use: Residential: Total": Reference case,2-AEO2018.12.ref2018-d121317a,"quads",20.107025,19.746239,20.425682,20.341011,20.137659,19.941093,19.806335,19.679358,19.628166,19.56575,19.555634,19.550819,19.555832,19.576931,19.548075,19.512657,19.499058,19.50293,19.524771,19.567741,19.599682,19.636673,19.667013,19.705929,19.717728,19.725166,19.733019,19.760227,19.798855,19.830357,19.868839,19.911121,19.939161,19.96734,19.980434,"0.0%"
Commercial,,2-AEO2018.14.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Commercial: Propane": Reference case,2-AEO2018.15.ref2018-d121317a,"quads",0.1387,0.143,0.139647,0.147565,0.152593,0.159724,0.166927,0.168576,0.170058,0.172249,0.17449,0.17683,0.179013,0.18054,0.182715,0.184491,0.18601,0.187633,0.189443,0.191021,0.192519,0.19455,0.195533,0.197319,0.199244,0.200921,0.202752,0.204404,0.206247,0.207831,0.209717,0.211485,0.213037,0.214643,0.216529,"1.3%"
Motor Gasoline,"Energy Use: Commercial: Motor Gasoline": Reference case,2-AEO2018.16.ref2018-d121317a,"quads",0.39056,0.39875,0.439418,0.40899,0.360023,0.325925,0.297894,0.294867,0.291312,0.292175,0.293028,0.292905,0.292433,0.291314,0.291635,0.290795,0.290961,0.291071,0.290707,0.290974,0.291441,0.290216,0.290533,0.290512,0.290386,0.29048,0.290701,0.291176,0.291681,0.292145,0.293443,0.293545,0.293526,0.294137,0.294587,"-0.9%"
Kerosene,"Energy Use: Commercial: Kerosene": Reference case,2-AEO2018.17.ref2018-d121317a,"quads",0.00155,0.002378,0.003793,0.003672,0.003173,0.002974,0.002842,0.003012,0.003155,0.003333,0.003517,0.003685,0.003851,0.003994,0.004161,0.004312,0.004474,0.004633,0.00479,0.004956,0.005118,0.005225,0.005381,0.005526,0.005674,0.005816,0.005984,0.006148,0.006315,0.006484,0.006673,0.006828,0.00697,0.007139,0.007302,"3.5%"
Distillate Fuel Oil,"Energy Use: Commercial: Distillate Fuel Oil": Reference case,2-AEO2018.18.ref2018-d121317a,"quads",0.35103,0.36874,0.4011,0.389505,0.381689,0.374565,0.370781,0.367463,0.364117,0.361092,0.358705,0.356339,0.353861,0.35106,0.348542,0.34609,0.343818,0.341664,0.339486,0.337454,0.33567,0.333418,0.331411,0.329511,0.327822,0.326145,0.324776,0.323599,0.322612,0.321582,0.320769,0.319838,0.318789,0.317982,0.31718,"-0.5%"
Residual Fuel Oil,"Energy Use: Commercial: Residual Fuel Oil": Reference case,2-AEO2018.19.ref2018-d121317a,"quads",0.00596,0.00599,0.042753,0.047097,0.030933,0.035989,0.047062,0.047115,0.047514,0.048423,0.047812,0.047812,0.047615,0.046617,0.046537,0.045951,0.046306,0.046097,0.046006,0.045968,0.046693,0.045341,0.045616,0.045534,0.045655,0.045791,0.046326,0.047024,0.048078,0.048943,0.050017,0.050841,0.051518,0.05175,0.051827,"6.8%"
Petroleum and Other Liquids Subtotal,"Energy Use: Commercial: Liquid Fuels Subtotal": Reference case,2-AEO2018.20.ref2018-d121317a,"quads",0.8878,0.918858,1.026712,0.99683,0.928411,0.899176,0.885505,0.881032,0.876156,0.877272,0.877552,0.877571,0.876774,0.873525,0.873589,0.871638,0.87157,0.871097,0.870433,0.870373,0.871441,0.868751,0.868474,0.868402,0.868781,0.869152,0.870538,0.872352,0.874932,0.876985,0.880619,0.882537,0.883841,0.885651,0.887425,"-0.1%"
Natural Gas,"Energy Use: Commercial: Natural Gas": Reference case,2-AEO2018.21.ref2018-d121317a,"quads",3.220385,3.263458,3.442482,3.393247,3.375769,3.359426,3.349129,3.342882,3.335989,3.336253,3.347363,3.363114,3.384217,3.402083,3.42499,3.450637,3.477881,3.505661,3.533654,3.562856,3.589446,3.616515,3.644542,3.674821,3.707632,3.741139,3.773771,3.809979,3.849343,3.889873,3.929763,3.969973,4.010875,4.050454,4.088965,"0.7%"
Coal,"Energy Use: Commercial: Coal": Reference case,2-AEO2018.22.ref2018-d121317a,"quads",0.02446,0.01815,0.02189,0.025618,0.02934,0.033102,0.036874,0.036897,0.03691,0.036895,0.036884,0.036908,0.036912,0.03695,0.036928,0.036923,0.036922,0.036918,0.03692,0.03691,0.036907,0.036885,0.036876,0.036857,0.036852,0.036839,0.036824,0.036811,0.0368,0.036786,0.036779,0.036772,0.036764,0.036751,0.036738,"2.2%"
Renewable Energy,"Energy Use: Commercial: Renewable Energy": Reference case,2-AEO2018.23.ref2018-d121317a,"quads",0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,0.134578,"0.0%"
Electricity,"Energy Use: Commercial: Electricity": Reference case,2-AEO2018.24.ref2018-d121317a,"quads",4.639012,4.608289,4.619706,4.683739,4.687876,4.698624,4.71445,4.733002,4.751716,4.768031,4.778152,4.791587,4.808928,4.828854,4.836317,4.847224,4.862639,4.880265,4.900541,4.92301,4.94714,4.973244,5.000999,5.030679,5.053099,5.080514,5.111827,5.148032,5.187199,5.230285,5.278562,5.331668,5.385362,5.443695,5.508687,"0.5%"
Delivered Energy,"Energy Use: Commercial: Delivered Energy": Reference case,2-AEO2018.25.ref2018-d121317a,"quads",8.906236,8.943332,9.245367,9.234011,9.155975,9.124905,9.120537,9.128391,9.135349,9.153028,9.174531,9.203756,9.241406,9.27599,9.306402,9.341,9.383589,9.428519,9.476126,9.527727,9.579513,9.629972,9.68547,9.745337,9.800941,9.862222,9.927538,10.001752,10.082851,10.168506,10.260302,10.355528,10.451419,10.551126,10.656391,"0.5%"
Electricity Related Losses,"Energy Use: Commercial: Electricity Related Losses": Reference case,2-AEO2018.26.ref2018-d121317a,"quads",9.256523,9.062057,9.028686,9.081544,9.060613,9.006614,8.964149,8.923748,8.95449,8.963419,8.964954,8.963472,8.96491,8.98366,8.969542,8.947497,8.950993,8.968099,8.979641,9.009376,9.029089,9.054779,9.08091,9.115191,9.136825,9.154021,9.170919,9.203465,9.241103,9.274999,9.321368,9.380366,9.443378,9.517486,9.571282,"0.2%"
Total,"Energy Use: Commercial: Total": Reference case,2-AEO2018.27.ref2018-d121317a,"quads",18.162758,18.005388,18.274052,18.315556,18.216587,18.131519,18.084686,18.052139,18.08984,18.116447,18.139484,18.167229,18.206316,18.259649,18.275944,18.288498,18.334581,18.396618,18.455767,18.537102,18.608601,18.684752,18.76638,18.860527,18.937765,19.016243,19.098457,19.205215,19.323956,19.443504,19.581669,19.735893,19.894798,20.068611,20.227673,"0.4%"
Industrial,,2-AEO2018.29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Industrial: Liquefied Petroleum Gases": Reference case,2-AEO2018.30.ref2018-d121317a,"quads",2.6852,2.743201,3.0245,2.984989,3.136937,3.231148,3.318022,3.420343,3.534088,3.584281,3.62011,3.674139,3.745449,3.80457,3.856074,3.901107,3.926103,3.967777,3.980129,3.989719,4.007086,4.042528,4.099613,4.114079,4.119052,4.132658,4.126531,4.128244,4.131571,4.137244,4.135612,4.142008,4.146103,4.147511,4.155046,"1.3%"
Motor Gasoline,"Energy Use: Industrial: Motor Gasoline": Reference case,2-AEO2018.31.ref2018-d121317a,"quads",0.2629,0.2621,0.2634,0.267798,0.270046,0.271859,0.273655,0.274911,0.276201,0.276968,0.278287,0.280003,0.280337,0.281227,0.281849,0.283003,0.284216,0.284813,0.285763,0.286599,0.287593,0.288859,0.289948,0.291442,0.293068,0.29454,0.296164,0.297649,0.298953,0.299822,0.300837,0.302254,0.303492,0.304779,0.306279,"0.5%"
Distillate Fuel Oil,"Energy Use: Industrial: Distillate Fuel Oil": Reference case,2-AEO2018.32.ref2018-d121317a,"quads",1.141471,1.159771,1.186071,1.216679,1.231956,1.245956,1.259668,1.27223,1.288687,1.298942,1.309115,1.318492,1.329732,1.33718,1.345424,1.354465,1.360672,1.365846,1.375036,1.384982,1.395422,1.405738,1.41853,1.429204,1.441879,1.456143,1.467535,1.480401,1.494041,1.506344,1.520216,1.534372,1.546889,1.558358,1.571552,"0.9%"
Residual Fuel Oil,"Energy Use: Industrial: Residual Fuel Oil": Reference case,2-AEO2018.33.ref2018-d121317a,"quads",0.0464,0.0466,0.0461,0.042909,0.039368,0.037722,0.03653,0.035504,0.034648,0.03425,0.033756,0.033369,0.032921,0.033186,0.033422,0.033665,0.033831,0.033981,0.034202,0.034405,0.034709,0.034942,0.035136,0.035395,0.035718,0.036035,0.036337,0.036606,0.036889,0.037068,0.037344,0.03767,0.03793,0.038207,0.038506,"-0.6%"
Petrochemical Feedstocks,"Energy Use: Industrial: Petrochemical Feedstocks": Reference case,2-AEO2018.34.ref2018-d121317a,"quads",0.6425,0.7112,0.7336,0.801519,0.854914,0.890843,0.927457,0.971709,1.021586,1.046614,1.064668,1.089299,1.121241,1.149436,1.174125,1.195683,1.208448,1.228037,1.234779,1.239385,1.247324,1.263681,1.291112,1.29959,1.300585,1.307737,1.305369,1.305688,1.30656,1.308335,1.307523,1.309595,1.31202,1.312574,1.31636,"1.9%"
Other Petroleum,"Energy Use: Industrial: Other Petroleum": Reference case,2-AEO2018.35.ref2018-d121317a,"quads",3.372127,3.40929,3.59003,3.670853,3.588118,3.530525,3.53583,3.546975,3.561903,3.572801,3.555178,3.58424,3.602069,3.619082,3.63203,3.690979,3.701771,3.723279,3.752246,3.789878,3.813529,3.835001,3.866358,3.89289,3.926995,3.944901,3.964351,3.989714,4.003418,4.02888,4.057235,4.095335,4.135631,4.167208,4.204647,"0.6%"
Petroleum and Other Liquids Subtotal,"Energy Use: Industrial: Liquid Fuels Subtotal": Reference case,2-AEO2018.36.ref2018-d121317a,"quads",8.150599,8.332162,8.843701,8.984746,9.121338,9.208053,9.351165,9.521671,9.717113,9.813855,9.861113,9.979542,10.111749,10.224681,10.322925,10.458903,10.51504,10.603733,10.662154,10.724967,10.785663,10.870749,11.000699,11.0626,11.117298,11.172014,11.196286,11.238303,11.271432,11.317692,11.358767,11.421234,11.482064,11.528637,11.59239,"1.0%"
Natural Gas,"Energy Use: Industrial: Natural Gas": Reference case,2-AEO2018.37.ref2018-d121317a,"quads",8.008,8.055401,8.273808,8.488417,8.797784,8.961069,9.086454,9.184196,9.168041,9.170582,9.194982,9.256555,9.33419,9.397717,9.459222,9.513879,9.589851,9.658436,9.730716,9.810446,9.860622,9.961337,10.068815,10.148365,10.22436,10.299475,10.35524,10.425053,10.481321,10.549994,10.591953,10.633161,10.688288,10.740317,10.800145,"0.9%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Industrial: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2018.38.ref2018-d121317a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Industrial: Lease and Plant Fuel": Reference case,2-AEO2018.39.ref2018-d121317a,"quads",1.648689,1.670296,1.786715,1.882467,1.937797,1.973096,1.99842,2.018893,2.038713,2.056597,2.084715,2.100262,2.122325,2.130246,2.138379,2.145393,2.149571,2.15038,2.162095,2.167143,2.178218,2.199737,2.20333,2.213326,2.236494,2.244883,2.253572,2.262454,2.267739,2.267341,2.274012,2.286206,2.296753,2.302471,2.311846,"1.0%"
Natural Gas to Liquefy Gas for Export,"Energy Use: Industrial: Liquefaction": Reference case,2-AEO2018.40.ref2018-d121317a,"quads",0.019357,0.069542,0.115195,0.201564,0.314271,0.327013,0.347733,0.389173,0.43752,0.47896,0.506587,0.534213,0.548027,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,"6.5%"
Natural Gas Subtotal,"Energy Use: Industrial: Natural Gas Subtotal": Reference case,2-AEO2018.41.ref2018-d121317a,"quads",9.676046,9.795238,10.175718,10.572448,11.049852,11.261178,11.432608,11.592262,11.644275,11.706139,11.786283,11.891029,12.004542,12.082897,12.152534,12.214206,12.294355,12.36375,12.447744,12.532522,12.593774,12.716008,12.827079,12.916624,13.015787,13.099291,13.163745,13.24244,13.303993,13.372268,13.420898,13.474299,13.539974,13.597722,13.666925,"1.0%"
Metallurgical Coal,"Energy Use: Industrial: Metallurgical Coal": Reference case,2-AEO2018.42.ref2018-d121317a,"quads",0.4702,0.5233,0.4575,0.450339,0.489366,0.471424,0.436016,0.426096,0.436419,0.442796,0.44516,0.450929,0.456103,0.451199,0.46567,0.476082,0.480758,0.491432,0.498715,0.507678,0.508721,0.518563,0.516126,0.516484,0.517197,0.520041,0.519462,0.521442,0.516759,0.513712,0.510887,0.512481,0.517527,0.516357,0.510288,"-0.1%"
Other Industrial Coal,"Energy Use: Industrial: Other Industrial Coal": Reference case,2-AEO2018.43.ref2018-d121317a,"quads",0.691318,0.647646,0.666789,0.700194,0.725561,0.734077,0.741832,0.748359,0.756666,0.755398,0.753324,0.750229,0.746132,0.736076,0.730083,0.72507,0.717201,0.711003,0.705443,0.698673,0.698503,0.698466,0.697634,0.696057,0.695847,0.696573,0.695933,0.69562,0.695342,0.69557,0.696047,0.696688,0.697444,0.697052,0.696198,"0.2%"
Coal-to-Liquids Heat and Power,"Energy Use: Industrial: Coal-to-Liquids Heat and Power": Reference case,2-AEO2018.45.ref2018-d121317a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Industrial: Net Coal Coke Imports": Reference case,2-AEO2018.46.ref2018-d121317a,"quads",-0.0191,-0.0159,-0.028976,-0.023348,-0.025261,-0.024344,-0.028721,-0.025566,-0.025276,-0.023809,-0.022798,-0.021703,-0.02074,-0.019914,-0.019145,-0.018367,-0.017714,-0.01711,-0.016565,-0.016167,-0.015824,-0.015571,-0.01541,-0.015386,-0.015124,-0.014813,-0.014612,-0.01466,-0.014631,-0.0146,-0.0145,-0.014353,-0.014127,-0.014135,-0.014162,"-0.4%"
Coal Subtotal,"Energy Use: Industrial: Coal Subtotal": Reference case,2-AEO2018.47.ref2018-d121317a,"quads",1.142418,1.155046,1.095313,1.127185,1.189666,1.181157,1.149127,1.148889,1.167809,1.174385,1.175687,1.179455,1.181495,1.167361,1.176609,1.182785,1.180244,1.185325,1.187592,1.190184,1.191399,1.201458,1.198349,1.197155,1.197921,1.201802,1.200783,1.202402,1.19747,1.194682,1.192434,1.194816,1.200843,1.199273,1.192323,"0.1%"
Biofuels Heat and Coproducts,"Energy Use: Industrial: Biofuels Heat and Coproducts": Reference case,2-AEO2018.48.ref2018-d121317a,"quads",0.82951,0.816852,0.810672,0.849826,0.850843,0.852107,0.85361,0.85493,0.848787,0.857991,0.852363,0.853823,0.860123,0.861373,0.863222,0.859328,0.861756,0.859228,0.861106,0.86265,0.862646,0.862639,0.862639,0.862624,0.85708,0.858405,0.857001,0.845871,0.845372,0.842652,0.83566,0.831985,0.830595,0.828966,0.825093,"0.0%"
Renewable Energy,"Energy Use: Industrial: Renewable Energy": Reference case,2-AEO2018.49.ref2018-d121317a,"quads",1.469233,1.459233,1.416433,1.486014,1.555265,1.600317,1.647076,1.690185,1.733206,1.760251,1.794676,1.83641,1.882612,1.921542,1.971759,2.021577,2.064922,2.100081,2.137207,2.165003,2.20176,2.232297,2.265584,2.299983,2.338412,2.381749,2.421907,2.458624,2.495979,2.529992,2.563129,2.598508,2.628446,2.654637,2.684336,"1.9%"
Electricity,"Energy Use: Industrial: Electricity": Reference case,2-AEO2018.50.ref2018-d121317a,"quads",3.1945,3.2264,3.2715,3.39642,3.49227,3.544248,3.600159,3.659045,3.717255,3.747241,3.777404,3.815703,3.85218,3.874827,3.889889,3.908849,3.920433,3.936586,3.9549,3.977778,3.99999,4.025059,4.054972,4.07751,4.100614,4.125202,4.144084,4.161432,4.176041,4.190743,4.209375,4.22483,4.235733,4.244196,4.257046,"0.8%"
Delivered Energy,"Energy Use: Industrial: Delivered Energy": Reference case,2-AEO2018.51.ref2018-d121317a,"quads",24.462303,24.784931,25.613335,26.416637,27.259235,27.64706,28.033743,28.466982,28.828445,29.05986,29.247526,29.555962,29.892704,30.132681,30.37694,30.645649,30.83675,31.048706,31.250704,31.453104,31.635235,31.908207,32.20932,32.416496,32.62711,32.838463,32.983807,33.149067,33.290287,33.448025,33.580261,33.745674,33.917652,34.053432,34.218117,"1.0%"
Electricity Related Losses,"Energy Use: Industrial: Electricity Related Losses": Reference case,2-AEO2018.52.ref2018-d121317a,"quads",6.374196,6.344615,6.393771,6.585494,6.749773,6.793835,6.845414,6.898875,7.005074,7.044437,7.087311,7.137916,7.181318,7.208777,7.214275,7.21535,7.216609,7.23397,7.24687,7.27955,7.300433,7.328419,7.363095,7.388123,7.414576,7.432748,7.434732,7.439658,7.439704,7.431554,7.4333,7.433031,7.427473,7.420342,7.39657,"0.5%"
Total,"Energy Use: Industrial: Total": Reference case,2-AEO2018.53.ref2018-d121317a,"quads",30.836498,31.129545,32.007107,33.002132,34.00901,34.440895,34.879158,35.365856,35.833519,36.104298,36.334839,36.693878,37.07402,37.341457,37.591213,37.861,38.05336,38.282677,38.497574,38.732655,38.935669,39.236626,39.572414,39.804619,40.041687,40.27121,40.418537,40.588726,40.729992,40.879578,41.013561,41.178703,41.345123,41.473774,41.614685,"0.9%"
Transportation,,2-AEO2018.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Transportation: Propane": Reference case,2-AEO2018.57.ref2018-d121317a,"quads",0.009674,0.010134,0.010763,0.011259,0.01234,0.012614,0.012351,0.012195,0.012123,0.011988,0.01199,0.012198,0.012453,0.012667,0.012865,0.01307,0.013221,0.013356,0.013534,0.013686,0.013852,0.014177,0.014343,0.014613,0.01493,0.015229,0.015525,0.015809,0.016132,0.016467,0.016784,0.017192,0.017583,0.017956,0.018397,"1.8%"
Motor Gasoline,"Energy Use: Transportation: Motor Gasoline": Reference case,2-AEO2018.58.ref2018-d121317a,"quads",16.602888,16.622351,16.53141,16.447401,16.214617,15.852534,15.461678,15.023714,14.559918,14.098455,13.732723,13.407965,13.121692,12.860918,12.623422,12.415597,12.227939,12.052804,11.89642,11.7566,11.655643,11.560371,11.484286,11.424338,11.387409,11.360807,11.350014,11.353416,11.374496,11.394352,11.430157,11.483324,11.558357,11.645576,11.718081,"-1.1%"
of which:  E85,"Energy Use: Transportation: E85": Reference case,2-AEO2018.59.ref2018-d121317a,"quads",0.008399,0.010139,0.039073,0.050987,0.060694,0.071938,0.091485,0.130998,0.170948,0.216749,0.227029,0.250105,0.2602,0.267169,0.274681,0.262179,0.26136,0.272765,0.284902,0.296477,0.301605,0.306541,0.308932,0.307195,0.3013,0.292642,0.282351,0.271589,0.252464,0.254893,0.255606,0.246459,0.211302,0.171427,0.16217,"8.8%"
Jet Fuel,"Energy Use: Transportation: Jet Fuel": Reference case,2-AEO2018.60.ref2018-d121317a,"quads",2.76639,2.793823,2.85729,2.913166,2.952699,2.999459,3.043394,3.079988,3.123097,3.168051,3.214818,3.26518,3.323378,3.381573,3.437059,3.492004,3.548886,3.603389,3.658042,3.713091,3.768384,3.820882,3.875049,3.92989,3.985736,4.040013,4.095292,4.151343,4.208091,4.266124,4.324912,4.383818,4.442801,4.500989,4.561884,"1.5%"
Distillate Fuel Oil,"Energy Use: Transportation: Distillate Fuel Oil": Reference case,2-AEO2018.61.ref2018-d121317a,"quads",6.548107,6.658413,6.589211,6.612305,6.652256,6.482728,6.48262,6.469614,6.446834,6.413856,6.388062,6.348575,6.304682,6.260971,6.22647,6.193461,6.161452,6.133493,6.120099,6.119527,6.128318,6.135761,6.149433,6.160895,6.173878,6.200958,6.225354,6.252643,6.283153,6.306607,6.330534,6.360399,6.387061,6.410842,6.439407,"-0.1%"
Residual Fuel Oil,"Energy Use: Transportation: Residual Fuel Oil": Reference case,2-AEO2018.62.ref2018-d121317a,"quads",0.695085,0.698963,0.69168,0.676014,0.493352,0.719953,0.664905,0.6517,0.685797,0.694121,0.67014,0.671928,0.670788,0.668651,0.665954,0.661941,0.657122,0.652129,0.646553,0.640859,0.638309,0.622296,0.616018,0.607109,0.597993,0.587619,0.583427,0.579219,0.577548,0.576706,0.580207,0.578037,0.570824,0.568466,0.561697,"-0.7%"
Other Petroleum,"Energy Use: Transportation: Other Petroleum": Reference case,2-AEO2018.63.ref2018-d121317a,"quads",0.158211,0.158398,0.158295,0.158347,0.158604,0.158424,0.158209,0.158097,0.158213,0.15838,0.158603,0.158837,0.159121,0.15937,0.159633,0.159851,0.160015,0.1601,0.160195,0.160346,0.160568,0.160814,0.161145,0.161556,0.162021,0.162518,0.16302,0.163575,0.164189,0.164877,0.165596,0.166314,0.166949,0.16762,0.168331,"0.2%"
Petroleum and Other Liquids Subtotal,"Energy Use: Transportation: Liquid Fuels Subtotal": Reference case,2-AEO2018.64.ref2018-d121317a,"quads",26.780355,26.942081,26.838652,26.818493,26.483871,26.225708,25.823153,25.395309,24.985983,24.544851,24.176338,23.864683,23.592115,23.344151,23.125404,22.935925,22.768633,22.615273,22.494843,22.404106,22.365074,22.314304,22.300272,22.298405,22.321968,22.367144,22.432632,22.516003,22.623608,22.725136,22.848188,22.98908,23.143574,23.311447,23.4678,"-0.4%"
Pipeline and Distribution Fuel Natural Gas,"Energy Use: Transportation: Pipeline Fuel Natural Gas": Reference case,2-AEO2018.65.ref2018-d121317a,"quads",0.703317,0.63503,0.665127,0.681495,0.683776,0.680327,0.686263,0.692035,0.69709,0.70089,0.697811,0.700854,0.703489,0.704967,0.703187,0.703592,0.705288,0.704845,0.706513,0.708367,0.712036,0.713813,0.715409,0.717199,0.717391,0.718929,0.72312,0.727185,0.728779,0.732292,0.735375,0.73657,0.739998,0.742767,0.747145,"0.5%"
