"Natural Gas Consumption by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=77-AEO2018&cases=ref2018&maptype=1&sourcekey=0"
"Wed Jan 23 2019 09:21:35 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Commercial,"Natural Gas Use: Commercial: Total": Reference case,77-AEO2018.13.ref2018-d121317a,"Tcf",3.105483,3.147018,3.319655,3.272177,3.255323,3.239563,3.229633,3.223609,3.216962,3.217216,3.227931,3.243119,3.263468,3.280697,3.302788,3.327519,3.353791,3.38058,3.407574,3.435734,3.461376,3.487478,3.514506,3.543705,3.575344,3.607656,3.639124,3.67404,3.711999,3.751084,3.78955,3.828325,3.867768,3.905935,3.943072,"0.7%"
New England,"Natural Gas Use: Commercial: New England": Reference case,77-AEO2018.14.ref2018-d121317a,"Tcf",0.186929,0.191164,0.193801,0.188411,0.185103,0.181965,0.179033,0.179284,0.179958,0.180996,0.18232,0.183776,0.18536,0.187069,0.188995,0.19102,0.193103,0.195336,0.197629,0.20002,0.202375,0.204806,0.207296,0.209832,0.212419,0.21514,0.217906,0.220785,0.223715,0.226791,0.229813,0.232775,0.235627,0.23849,0.241345,"0.7%"
Middle Atlantic,"Natural Gas Use: Commercial: Middle Atlantic": Reference case,77-AEO2018.15.ref2018-d121317a,"Tcf",0.607106,0.613482,0.64668,0.632467,0.631267,0.630392,0.630407,0.625977,0.624502,0.62467,0.626579,0.628981,0.63269,0.635836,0.639872,0.644291,0.649014,0.653803,0.658751,0.663953,0.66875,0.673773,0.679118,0.685098,0.691699,0.698385,0.704706,0.711749,0.719276,0.72668,0.733838,0.741028,0.748539,0.755654,0.762627,"0.7%"
East North Central,"Natural Gas Use: Commercial: East North Central": Reference case,77-AEO2018.16.ref2018-d121317a,"Tcf",0.687445,0.693881,0.735888,0.718108,0.70818,0.698771,0.69062,0.687536,0.686359,0.685959,0.6871,0.688667,0.691318,0.693414,0.696358,0.699785,0.703355,0.706941,0.710537,0.71431,0.717385,0.720455,0.723583,0.727295,0.731436,0.735502,0.739259,0.743578,0.748465,0.75329,0.758105,0.762969,0.768055,0.772717,0.777123,"0.3%"
West North Central,"Natural Gas Use: Commercial: West North Central": Reference case,77-AEO2018.17.ref2018-d121317a,"Tcf",0.279704,0.29019,0.300853,0.294656,0.290846,0.287805,0.285381,0.284872,0.284743,0.284571,0.284932,0.285356,0.286185,0.286741,0.287617,0.288626,0.289715,0.290786,0.291867,0.293026,0.293943,0.294844,0.295818,0.296975,0.298332,0.299705,0.300945,0.302485,0.30425,0.306102,0.307769,0.309534,0.311362,0.313125,0.314838,"0.2%"
South Atlantic,"Natural Gas Use: Commercial: South Atlantic": Reference case,77-AEO2018.18.ref2018-d121317a,"Tcf",0.385442,0.378779,0.405409,0.402165,0.40155,0.399996,0.398879,0.398464,0.399202,0.400431,0.402545,0.404875,0.407813,0.410204,0.413354,0.416746,0.420271,0.423793,0.427101,0.43054,0.433516,0.436489,0.439563,0.442963,0.446772,0.450723,0.454613,0.459062,0.464176,0.469658,0.475193,0.480864,0.486704,0.492539,0.498302,"0.8%"
East South Central,"Natural Gas Use: Commercial: East South Central": Reference case,77-AEO2018.19.ref2018-d121317a,"Tcf",0.128986,0.124724,0.137262,0.135582,0.134692,0.133625,0.132729,0.132557,0.132694,0.132922,0.133465,0.134072,0.134916,0.135616,0.136487,0.137418,0.138377,0.139319,0.140274,0.141251,0.142069,0.142905,0.143787,0.144767,0.145877,0.147003,0.14805,0.14929,0.150718,0.152229,0.153788,0.155413,0.157099,0.158782,0.160465,"0.8%"
West South Central,"Natural Gas Use: Commercial: West South Central": Reference case,77-AEO2018.20.ref2018-d121317a,"Tcf",0.27455,0.270542,0.301413,0.304412,0.304541,0.304357,0.304885,0.304882,0.305513,0.306477,0.308212,0.310204,0.312689,0.315096,0.317941,0.320985,0.324141,0.327346,0.330555,0.333941,0.337071,0.340274,0.343489,0.346714,0.350307,0.354116,0.357959,0.362242,0.366964,0.371961,0.376909,0.382026,0.387383,0.3927,0.397816,"1.2%"
Mountain,"Natural Gas Use: Commercial: Mountain": Reference case,77-AEO2018.21.ref2018-d121317a,"Tcf",0.225339,0.23407,0.236238,0.232268,0.228508,0.225281,0.222404,0.222112,0.222269,0.222585,0.223304,0.224163,0.225269,0.226283,0.227542,0.228914,0.230372,0.231829,0.233315,0.234841,0.236239,0.237639,0.239144,0.240773,0.242428,0.244145,0.245863,0.247799,0.24991,0.252137,0.254382,0.256673,0.258998,0.26129,0.263549,"0.4%"
Pacific,"Natural Gas Use: Commercial: Pacific": Reference case,77-AEO2018.22.ref2018-d121317a,"Tcf",0.329983,0.350186,0.362113,0.364107,0.370636,0.377371,0.385295,0.387926,0.381721,0.378605,0.379474,0.383024,0.387228,0.390438,0.39462,0.399735,0.405442,0.411428,0.417545,0.423853,0.430026,0.436293,0.442708,0.449285,0.456074,0.462936,0.469823,0.47705,0.484526,0.492236,0.499752,0.507043,0.514,0.52064,0.527008,"1.2%"
Industrial,"Natural Gas Use: Industrial: Total": Reference case,77-AEO2018.24.ref2018-d121317a,"Tcf",7.722277,7.767986,7.978601,8.185552,8.483881,8.64134,8.762252,8.856505,8.840928,8.843378,8.866906,8.926282,9.001148,9.062409,9.121718,9.174425,9.247687,9.313825,9.383526,9.46041,9.508798,9.605921,9.709561,9.786273,9.859556,9.931992,9.985767,10.053086,10.10735,10.173572,10.214035,10.253771,10.306931,10.357105,10.4148,"0.9%"
New England,"Natural Gas Use: Industrial: New England": Reference case,77-AEO2018.25.ref2018-d121317a,"Tcf",0.099354,0.097021,0.101957,0.104196,0.108293,0.109969,0.111372,0.112583,0.11355,0.114036,0.114922,0.116068,0.117348,0.118828,0.119627,0.120456,0.121123,0.122077,0.123082,0.124153,0.125428,0.126924,0.128474,0.129718,0.131125,0.132647,0.13395,0.13506,0.136149,0.137207,0.138141,0.139167,0.140233,0.141314,0.142574,"1.2%"
Middle Atlantic,"Natural Gas Use: Industrial: Middle Atlantic": Reference case,77-AEO2018.26.ref2018-d121317a,"Tcf",0.400519,0.393993,0.404564,0.425504,0.430269,0.435336,0.443376,0.449629,0.452802,0.453294,0.45821,0.458249,0.459359,0.464797,0.467507,0.46892,0.469014,0.470323,0.473261,0.475168,0.477829,0.480646,0.491919,0.494761,0.500276,0.504844,0.508736,0.514094,0.518821,0.524383,0.527781,0.531273,0.537495,0.539922,0.545941,"1.0%"
East North Central,"Natural Gas Use: Industrial: East North Central": Reference case,77-AEO2018.27.ref2018-d121317a,"Tcf",1.155617,1.190256,1.241326,1.359161,1.378106,1.38423,1.409222,1.423006,1.43429,1.439796,1.453466,1.46068,1.471481,1.480271,1.49154,1.499112,1.51089,1.52122,1.528231,1.54421,1.548661,1.559146,1.569197,1.575083,1.580551,1.59077,1.606241,1.620653,1.62446,1.640874,1.645529,1.649208,1.656416,1.65749,1.660895,"1.0%"
West North Central,"Natural Gas Use: Industrial: West North Central": Reference case,77-AEO2018.28.ref2018-d121317a,"Tcf",0.792224,0.802614,0.821364,0.760425,0.77457,0.780541,0.788355,0.795012,0.8021,0.804616,0.808258,0.812745,0.818551,0.823358,0.827397,0.830999,0.834007,0.839254,0.842785,0.847852,0.852506,0.857646,0.864621,0.868895,0.872438,0.877396,0.881552,0.885118,0.886807,0.891062,0.892044,0.894325,0.897099,0.897608,0.899159,"0.3%"
South Atlantic,"Natural Gas Use: Industrial: South Atlantic": Reference case,77-AEO2018.29.ref2018-d121317a,"Tcf",0.530778,0.543191,0.567895,0.594514,0.620511,0.639501,0.652575,0.663054,0.67059,0.672368,0.677421,0.682377,0.688909,0.695498,0.700691,0.705893,0.709346,0.714263,0.718018,0.721886,0.724157,0.730677,0.738042,0.741728,0.745753,0.749973,0.751801,0.754583,0.756874,0.759464,0.760757,0.763375,0.766592,0.769319,0.774268,"1.1%"
East South Central,"Natural Gas Use: Industrial: East South Central": Reference case,77-AEO2018.30.ref2018-d121317a,"Tcf",0.530103,0.536214,0.553567,0.548151,0.576234,0.592685,0.602323,0.610905,0.617185,0.618103,0.620871,0.625805,0.632058,0.637855,0.642732,0.647557,0.65158,0.656472,0.660243,0.664065,0.666773,0.673523,0.67994,0.684379,0.68771,0.691745,0.693482,0.695802,0.698086,0.700136,0.701609,0.703686,0.705873,0.708701,0.712396,"0.9%"
West South Central,"Natural Gas Use: Industrial: West South Central": Reference case,77-AEO2018.31.ref2018-d121317a,"Tcf",2.959897,2.934936,2.985062,3.040271,3.238116,3.324918,3.36438,3.404865,3.417468,3.404161,3.40897,3.42527,3.456585,3.490255,3.521184,3.537157,3.569833,3.5936,3.617223,3.63815,3.655944,3.699188,3.744572,3.779342,3.799478,3.820931,3.829524,3.843226,3.860288,3.871192,3.883643,3.890245,3.897771,3.916302,3.930662,"0.9%"
Mountain,"Natural Gas Use: Industrial: Mountain": Reference case,77-AEO2018.32.ref2018-d121317a,"Tcf",0.259955,0.258276,0.263474,0.247658,0.252193,0.254746,0.258477,0.258168,0.261756,0.263951,0.264744,0.266926,0.26857,0.269702,0.271497,0.274605,0.276549,0.279145,0.282369,0.284857,0.286911,0.28942,0.292495,0.297414,0.301015,0.305002,0.308625,0.311244,0.314534,0.31798,0.319379,0.3223,0.326745,0.330034,0.333172,"0.8%"
Pacific,"Natural Gas Use: Industrial: Pacific": Reference case,77-AEO2018.33.ref2018-d121317a,"Tcf",0.993832,1.011485,1.039392,1.105672,1.105589,1.119415,1.132172,1.139284,1.07119,1.073051,1.060044,1.078162,1.088288,1.081845,1.079543,1.089727,1.105346,1.11747,1.138314,1.160069,1.170589,1.188751,1.200302,1.214952,1.241212,1.258683,1.271856,1.29331,1.311331,1.331273,1.345153,1.360192,1.378707,1.396414,1.415731,"1.0%"
Electric Power,"Natural Gas Use: Electric Power: Total": Reference case,77-AEO2018.35.ref2018-d121317a,"Tcf",9.970001,9.015461,9.567354,10.178959,9.746399,9.659825,9.790564,9.895766,9.743981,9.820745,9.810063,9.916197,10.088872,10.172764,10.173713,10.223625,10.196405,10.198324,10.302856,10.303284,10.391861,10.494788,10.515879,10.574137,10.689034,10.781564,10.917463,10.995971,10.958105,10.983193,11.059808,11.143978,11.25114,11.27909,11.440779,"0.7%"
New England,"Natural Gas Use: Electric Power: New England": Reference case,77-AEO2018.36.ref2018-d121317a,"Tcf",0.380251,0.277111,0.269232,0.32839,0.323068,0.339338,0.328905,0.331699,0.333182,0.327734,0.32292,0.320083,0.323442,0.317348,0.344608,0.359487,0.362276,0.348528,0.344654,0.343045,0.337637,0.341663,0.355237,0.352949,0.349313,0.351221,0.356173,0.357157,0.353894,0.356026,0.357449,0.359384,0.367108,0.369468,0.376697,"0.9%"
Middle Atlantic,"Natural Gas Use: Electric Power: Middle Atlantic": Reference case,77-AEO2018.37.ref2018-d121317a,"Tcf",1.30029,1.18898,1.213711,1.285022,1.334748,1.332356,1.378912,1.380358,1.387956,1.398937,1.377916,1.372329,1.369609,1.405674,1.4111,1.39902,1.400222,1.408491,1.430282,1.430086,1.474427,1.457527,1.456639,1.459919,1.468562,1.470487,1.477539,1.45964,1.477744,1.474168,1.490137,1.490789,1.513114,1.50457,1.509145,"0.7%"
East North Central,"Natural Gas Use: Electric Power: East North Central": Reference case,77-AEO2018.38.ref2018-d121317a,"Tcf",0.882147,0.654234,0.75777,0.83301,0.78447,0.777258,0.807779,0.907622,0.933348,0.952709,0.928113,0.967184,1.006688,1.033476,1.028141,1.054147,1.052186,1.081676,1.115261,1.131419,1.137462,1.173711,1.212516,1.236922,1.26255,1.281798,1.29815,1.324575,1.34537,1.389926,1.402388,1.448169,1.471006,1.495258,1.539945,"2.6%"
West North Central,"Natural Gas Use: Electric Power: West North Central": Reference case,77-AEO2018.39.ref2018-d121317a,"Tcf",0.185609,0.102611,0.114416,0.13093,0.208678,0.204004,0.207733,0.221105,0.226798,0.230646,0.236011,0.237173,0.24696,0.236079,0.232575,0.239906,0.227221,0.226743,0.231118,0.2432,0.24051,0.239639,0.243186,0.251941,0.248954,0.248413,0.250027,0.2586,0.227766,0.220508,0.224318,0.227142,0.229429,0.235639,0.250611,"2.7%"
South Atlantic,"Natural Gas Use: Electric Power: South Atlantic": Reference case,77-AEO2018.40.ref2018-d121317a,"Tcf",2.388617,2.094628,2.189118,2.467418,2.330672,2.362773,2.483883,2.437648,2.361055,2.345663,2.328565,2.313745,2.327456,2.336235,2.338045,2.344801,2.371522,2.367812,2.400336,2.424614,2.454125,2.485571,2.457631,2.454086,2.464136,2.467012,2.540549,2.580984,2.547844,2.558314,2.590243,2.596843,2.59717,2.584455,2.66255,"0.7%"
East South Central,"Natural Gas Use: Electric Power: East South Central": Reference case,77-AEO2018.41.ref2018-d121317a,"Tcf",0.930271,0.893475,0.887612,0.900363,0.814609,0.817659,0.838498,0.878484,0.856465,0.879286,0.837893,0.85341,0.877042,0.902984,0.874346,0.868293,0.885176,0.868283,0.814159,0.830788,0.841107,0.849357,0.855822,0.844812,0.854235,0.880742,0.900299,0.923266,0.929337,0.934442,0.922924,0.937048,0.964645,0.958561,0.945247,"0.2%"
West South Central,"Natural Gas Use: Electric Power: West South Central": Reference case,77-AEO2018.42.ref2018-d121317a,"Tcf",2.274507,2.381445,2.563754,2.642793,2.627721,2.545536,2.536841,2.54134,2.452389,2.437682,2.486372,2.560859,2.652426,2.681706,2.719895,2.768667,2.723257,2.742128,2.759896,2.69765,2.705585,2.752168,2.795059,2.84199,2.897195,2.922708,2.933532,2.93961,2.954561,2.966478,2.988756,3.019206,3.035982,3.044266,3.073569,"0.8%"
Mountain,"Natural Gas Use: Electric Power: Mountain": Reference case,77-AEO2018.43.ref2018-d121317a,"Tcf",0.74058,0.594537,0.682496,0.747362,0.65403,0.609745,0.603351,0.607945,0.619765,0.629435,0.637514,0.653609,0.660188,0.660212,0.662922,0.670006,0.678312,0.674877,0.677399,0.677332,0.680358,0.682634,0.632697,0.627518,0.64697,0.663871,0.664845,0.655575,0.653931,0.649312,0.658092,0.666363,0.667979,0.674356,0.675555,"0.4%"
Pacific,"Natural Gas Use: Electric Power: Pacific": Reference case,77-AEO2018.44.ref2018-d121317a,"Tcf",0.887727,0.82844,0.889245,0.843669,0.668404,0.671157,0.604662,0.589566,0.573022,0.618652,0.654761,0.637806,0.62506,0.599049,0.562078,0.519298,0.496232,0.479785,0.529751,0.525151,0.52065,0.512519,0.507093,0.504001,0.49712,0.495312,0.496348,0.496564,0.467659,0.43402,0.425499,0.399034,0.404708,0.412517,0.40746,"-2.1%"
Transportation,"Natural Gas Use: Transportation: Total": Reference case,77-AEO2018.46.ref2018-d121317a,"Tcf",0.071932,0.080696,0.092313,0.10346,0.11099,0.15176,0.167524,0.179427,0.18547,0.197839,0.214507,0.229409,0.24454,0.259654,0.274886,0.29074,0.306094,0.321722,0.338363,0.354091,0.369262,0.390069,0.406756,0.424488,0.444025,0.464694,0.481979,0.501399,0.520719,0.54117,0.561036,0.583977,0.607911,0.632261,0.65823,"6.6%"
New England,"Natural Gas Use: Transportation: New England": Reference case,77-AEO2018.47.ref2018-d121317a,"Tcf",0.001834,0.002079,0.002181,0.002246,0.002377,0.002632,0.00282,0.003005,0.003188,0.003419,0.00366,0.003878,0.004079,0.004276,0.004474,0.004666,0.004857,0.005049,0.005251,0.005453,0.00565,0.005863,0.006071,0.006284,0.006514,0.006771,0.007021,0.007287,0.007565,0.007861,0.008168,0.008501,0.008848,0.009204,0.009584,"4.7%"
Middle Atlantic,"Natural Gas Use: Transportation: Middle Atlantic": Reference case,77-AEO2018.48.ref2018-d121317a,"Tcf",0.006373,0.007239,0.008379,0.009371,0.00995,0.014392,0.015814,0.016685,0.016738,0.017414,0.018476,0.019365,0.020318,0.021249,0.022207,0.023239,0.024161,0.025165,0.026218,0.027202,0.027983,0.029424,0.030332,0.031413,0.032588,0.03387,0.034846,0.03597,0.037058,0.038239,0.039358,0.040758,0.042241,0.043673,0.045311,"5.7%"
East North Central,"Natural Gas Use: Transportation: East North Central": Reference case,77-AEO2018.49.ref2018-d121317a,"Tcf",0.008633,0.00989,0.01058,0.011246,0.011823,0.012746,0.013761,0.014963,0.016452,0.018211,0.020155,0.021996,0.023704,0.025423,0.02713,0.02879,0.030516,0.032205,0.034003,0.035762,0.037753,0.039661,0.041749,0.043764,0.045963,0.048327,0.050733,0.053307,0.056013,0.058818,0.061768,0.064909,0.068193,0.071737,0.075321,"6.3%"
West North Central,"Natural Gas Use: Transportation: West North Central": Reference case,77-AEO2018.50.ref2018-d121317a,"Tcf",0.006166,0.007146,0.007769,0.008459,0.009081,0.009844,0.010789,0.011965,0.013445,0.015192,0.017178,0.019098,0.020934,0.022756,0.024587,0.026421,0.028296,0.030124,0.032052,0.034007,0.036205,0.038306,0.040613,0.042915,0.045446,0.048103,0.050792,0.053654,0.056652,0.059755,0.063031,0.06651,0.07014,0.074011,0.077969,"7.5%"
South Atlantic,"Natural Gas Use: Transportation: South Atlantic": Reference case,77-AEO2018.51.ref2018-d121317a,"Tcf",0.009455,0.010925,0.012602,0.014092,0.015091,0.021526,0.023934,0.025689,0.026471,0.02821,0.030555,0.032621,0.034704,0.03681,0.038918,0.041121,0.043226,0.045359,0.047619,0.049713,0.051663,0.054504,0.056626,0.058909,0.061422,0.064051,0.06608,0.068413,0.070695,0.073126,0.075392,0.078109,0.08094,0.083781,0.086818,"6.5%"
East South Central,"Natural Gas Use: Transportation: East South Central": Reference case,77-AEO2018.52.ref2018-d121317a,"Tcf",0.004321,0.004979,0.005419,0.005852,0.006161,0.006976,0.007467,0.007935,0.008405,0.009021,0.009728,0.01038,0.01101,0.011648,0.012298,0.012956,0.013645,0.01434,0.015111,0.015884,0.016752,0.017683,0.018655,0.019632,0.020739,0.021946,0.023151,0.024471,0.025872,0.02736,0.028937,0.030659,0.032477,0.034411,0.03643,"6.2%"
West South Central,"Natural Gas Use: Transportation: West South Central": Reference case,77-AEO2018.53.ref2018-d121317a,"Tcf",0.010067,0.011267,0.014254,0.017262,0.019046,0.031116,0.035046,0.037528,0.037755,0.039763,0.042995,0.045791,0.048875,0.051945,0.055089,0.058518,0.061705,0.065115,0.068721,0.07209,0.074912,0.079844,0.08311,0.086845,0.090913,0.095183,0.098304,0.101927,0.105332,0.108997,0.112241,0.116291,0.120499,0.124395,0.128824,"7.7%"
Mountain,"Natural Gas Use: Transportation: Mountain": Reference case,77-AEO2018.54.ref2018-d121317a,"Tcf",0.007127,0.008101,0.008804,0.009503,0.010217,0.011075,0.012174,0.013607,0.015585,0.017902,0.020433,0.022805,0.024962,0.027185,0.029299,0.031323,0.033525,0.035459,0.037631,0.039623,0.042134,0.04433,0.046917,0.04917,0.051818,0.054606,0.057282,0.060238,0.063354,0.066529,0.069862,0.073399,0.077063,0.081348,0.085459,"7.4%"
Pacific,"Natural Gas Use: Transportation: Pacific": Reference case,77-AEO2018.55.ref2018-d121317a,"Tcf",0.017956,0.019071,0.022325,0.02543,0.027244,0.041452,0.045719,0.04805,0.047431,0.048706,0.051328,0.053476,0.055953,0.058363,0.060883,0.063707,0.066161,0.068907,0.071757,0.074357,0.07621,0.080455,0.082684,0.085556,0.088621,0.091838,0.09377,0.096132,0.098177,0.100485,0.102279,0.104841,0.10751,0.109699,0.112514,"5.5%"
All Sectors,"Natural Gas Use: All Sectors: Total": Reference case,77-AEO2018.57.ref2018-d121317a,"Tcf",25.214716,24.392164,25.698565,26.356955,26.200523,26.287216,26.542746,26.74511,26.569532,26.654343,26.692919,26.888454,27.172113,27.34712,27.443434,27.585283,27.669216,27.774929,27.987288,28.104021,28.274212,28.513248,28.67392,28.850021,29.086317,29.30275,29.539782,29.740805,29.817673,29.971428,30.150043,30.33884,30.565638,30.708561,30.992548,"0.7%"
New England,"Natural Gas Use: All Sectors: New England": Reference case,77-AEO2018.58.ref2018-d121317a,"Tcf",0.856641,0.764469,0.777306,0.824307,0.81988,0.835061,0.823573,0.828336,0.832154,0.829112,0.827418,0.828002,0.834922,0.832672,0.863212,0.881413,0.887269,0.876998,0.87669,0.878794,0.877143,0.885202,0.902923,0.9045,0.905021,0.911449,0.920776,0.926112,0.927242,0.933938,0.939747,0.946111,0.958131,0.964795,0.976505,"0.7%"
Middle Atlantic,"Natural Gas Use: All Sectors: Middle Atlantic": Reference case,77-AEO2018.59.ref2018-d121317a,"Tcf",3.156144,3.062421,3.184551,3.223555,3.272169,3.273663,3.326187,3.326371,3.3334,3.343819,3.329571,3.325921,3.328008,3.371974,3.383677,3.376964,3.382066,3.395323,3.423847,3.429507,3.479341,3.468841,3.482608,3.493229,3.513038,3.525514,3.541683,3.535466,3.565468,3.574457,3.600419,3.611449,3.647297,3.647744,3.664899,"0.5%"
East North Central,"Natural Gas Use: All Sectors: East North Central": Reference case,77-AEO2018.60.ref2018-d121317a,"Tcf",3.920965,3.698125,4.016391,4.154474,4.104654,4.085458,4.126229,4.23005,4.260619,4.2802,4.266707,4.311094,4.360934,4.394941,4.400432,4.434247,4.443801,4.48329,4.523457,4.555622,4.564659,4.609838,4.657233,4.687322,4.719284,4.749995,4.78289,4.825953,4.854137,4.918383,4.939103,4.992292,5.026526,5.055829,5.107442,"1.0%"
West North Central,"Natural Gas Use: All Sectors: West North Central": Reference case,77-AEO2018.61.ref2018-d121317a,"Tcf",1.638642,1.584687,1.663275,1.60427,1.691888,1.690555,1.701014,1.721945,1.736431,1.744301,1.755936,1.764118,1.782755,1.779245,1.782781,1.796847,1.790232,1.797901,1.80876,1.829109,1.834015,1.841027,1.854598,1.870955,1.875602,1.884355,1.894226,1.911252,1.887434,1.889983,1.900213,1.911176,1.922222,1.935038,1.957578,"0.6%"
South Atlantic,"Natural Gas Use: All Sectors: South Atlantic": Reference case,77-AEO2018.62.ref2018-d121317a,"Tcf",3.73514,3.431044,3.628421,3.924912,3.816824,3.874382,4.012102,3.979774,3.9148,3.906613,3.90168,3.898665,3.926259,3.948092,3.962419,3.981869,4.019198,4.027431,4.070673,4.106,4.143921,4.188877,4.174717,4.181961,4.204115,4.219766,4.30302,4.355291,4.334575,4.358191,4.401902,4.422204,4.437088,4.438435,4.532712,"0.8%"
