"Natural Gas Delivered Prices by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=78-AEO2018&cases=ref2018&maptype=1&sourcekey=0"
"Wed Jan 23 2019 09:21:46 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Commercial,"Natural Gas Delivered: Commercial: Average": Reference case,78-AEO2018.13.ref2018-d121317a,"2017 $/Mcf",7.503532,8.107497,7.960141,8.33431,8.68772,8.88131,9.077313,9.410858,9.68724,9.811954,9.820977,9.876067,9.855336,9.988765,9.964457,9.978858,9.997819,10.015485,10.031236,10.042951,10.130873,10.169294,10.21706,10.245745,10.265542,10.314357,10.400888,10.415153,10.450844,10.525947,10.582286,10.63573,10.688534,10.768774,10.837103,"0.9%"
New England,"Natural Gas Delivered: Commercial: New England": Reference case,78-AEO2018.14.ref2018-d121317a,"2017 $/Mcf",9.47874,9.962491,10.197613,10.49582,10.882206,11.104712,11.348804,11.604048,11.643868,11.671027,11.675938,11.683683,11.68361,11.699503,11.697989,11.707302,11.715679,11.685141,11.673741,11.657602,11.69569,11.67939,11.70211,11.717935,11.732411,11.721128,11.73626,11.734735,11.760819,11.749696,11.754623,11.767612,11.808296,11.818727,11.849099,"0.5%"
Middle Atlantic,"Natural Gas Delivered: Commercial: Middle Atlantic": Reference case,78-AEO2018.15.ref2018-d121317a,"2017 $/Mcf",6.801348,7.658144,7.643643,8.085474,8.460084,8.722031,8.993927,9.415852,9.417209,9.53229,9.521487,9.569454,9.527825,9.643872,9.609695,9.619375,9.628454,9.64618,9.65626,9.662114,9.745923,9.775628,9.815043,9.832475,9.835848,9.880964,9.96698,9.959208,9.977814,10.04812,10.09381,10.140738,10.17031,10.254476,10.310976,"0.9%"
East North Central,"Natural Gas Delivered: Commercial: East North Central": Reference case,78-AEO2018.16.ref2018-d121317a,"2017 $/Mcf",6.515844,7.149859,7.053532,7.423728,7.761246,7.951534,8.143114,8.48399,8.511241,8.640376,8.644144,8.69687,8.668152,8.771828,8.741557,8.755018,8.772307,8.792832,8.806734,8.819885,8.905602,8.949409,8.996678,9.021324,9.037831,9.087974,9.17719,9.190517,9.224263,9.308135,9.367455,9.423418,9.472779,9.556986,9.623528,"0.9%"
West North Central,"Natural Gas Delivered: Commercial: West North Central": Reference case,78-AEO2018.17.ref2018-d121317a,"2017 $/Mcf",6.778008,7.374967,7.536349,7.84456,8.112988,8.208215,8.296484,8.533585,8.566804,8.706107,8.716793,8.775156,8.74914,8.851021,8.818966,8.82965,8.843326,8.860798,8.872467,8.882211,8.965269,9.009767,9.056076,9.078465,9.093807,9.141574,9.229322,9.240708,9.273908,9.357926,9.41822,9.470942,9.521442,9.605546,9.673165,"0.8%"
South Atlantic,"Natural Gas Delivered: Commercial: South Atlantic": Reference case,78-AEO2018.18.ref2018-d121317a,"2017 $/Mcf",8.321723,9.217295,8.843525,9.222348,9.621217,9.86583,10.123077,10.530249,10.545884,10.673401,10.671943,10.722698,10.688359,10.794602,10.758182,10.767347,10.780941,10.789446,10.795237,10.798554,10.889292,10.919202,10.960881,10.9812,10.989791,11.032464,11.125785,11.131747,11.157909,11.230924,11.280918,11.334603,11.383806,11.464205,11.532322,"0.7%"
East South Central,"Natural Gas Delivered: Commercial: East South Central": Reference case,78-AEO2018.19.ref2018-d121317a,"2017 $/Mcf",8.509303,9.467522,8.866134,9.259935,9.620649,9.792242,9.959202,10.313489,10.339621,10.49433,10.490077,10.549262,10.501289,10.613004,10.55914,10.561202,10.568419,10.574407,10.571378,10.571166,10.662091,10.696848,10.738621,10.751146,10.755672,10.79892,10.893628,10.891341,10.91348,10.9905,11.038701,11.085866,11.125396,11.20429,11.262481,"0.5%"
West South Central,"Natural Gas Delivered: Commercial: West South Central": Reference case,78-AEO2018.20.ref2018-d121317a,"2017 $/Mcf",7.304603,7.916184,7.415925,7.786718,8.15284,8.320374,8.491396,8.822814,8.87392,9.019702,9.036813,9.102873,9.089464,9.190774,9.162272,9.17455,9.189181,9.199039,9.203144,9.205542,9.291367,9.326756,9.375813,9.399865,9.418611,9.45911,9.54188,9.552628,9.58777,9.661243,9.713362,9.762306,9.814834,9.88975,9.953973,"0.7%"
Mountain,"Natural Gas Delivered: Commercial: Mountain": Reference case,78-AEO2018.21.ref2018-d121317a,"2017 $/Mcf",7.18697,7.275455,7.486886,7.829854,8.1682,8.35205,8.527636,8.811196,8.863133,8.988462,9.019053,9.076951,9.077794,9.155872,9.147265,9.163468,9.184834,9.20368,9.222905,9.235406,9.311464,9.350154,9.391275,9.421773,9.447961,9.494663,9.56754,9.590631,9.629856,9.697614,9.755311,9.800389,9.854739,9.92393,9.989182,"1.0%"
Pacific,"Natural Gas Delivered: Commercial: Pacific": Reference case,78-AEO2018.22.ref2018-d121317a,"2017 $/Mcf",9.381931,9.405781,8.951689,9.294353,9.610097,9.712522,9.80561,10.023409,12.162956,12.313267,12.354966,12.415919,12.420726,12.790876,12.782726,12.795135,12.82378,12.847104,12.883439,12.90486,13.001994,13.046608,13.099649,13.148377,13.18833,13.255589,13.342167,13.382859,13.437831,13.518949,13.59173,13.65498,13.740287,13.828655,13.923677,"1.2%"
Industrial,"Natural Gas Delivered: Industrial: Average": Reference case,78-AEO2018.24.ref2018-d121317a,"2017 $/Mcf",3.598405,4.097433,4.16401,4.501063,4.75576,4.71827,4.750557,4.882301,4.974555,5.102544,5.139045,5.185356,5.189007,5.253317,5.250592,5.25191,5.263171,5.260147,5.267325,5.262592,5.359029,5.374926,5.43818,5.482765,5.508673,5.544667,5.60857,5.647779,5.698731,5.750659,5.802042,5.854096,5.93885,6.008296,6.094493,"1.2%"
New England,"Natural Gas Delivered: Industrial: New England": Reference case,78-AEO2018.25.ref2018-d121317a,"2017 $/Mcf",6.399537,6.218805,6.385368,6.272309,6.455296,6.379681,6.379157,6.494629,6.558559,6.655497,6.668034,6.70313,6.68797,6.787366,6.802124,6.818686,6.833641,6.83276,6.846493,6.84669,6.951196,6.982971,7.056291,7.098114,7.112964,7.161683,7.242309,7.266788,7.309902,7.377975,7.440093,7.505417,7.576762,7.672947,7.767336,"0.7%"
Middle Atlantic,"Natural Gas Delivered: Industrial: Middle Atlantic": Reference case,78-AEO2018.26.ref2018-d121317a,"2017 $/Mcf",4.69637,4.934103,5.226525,5.543928,5.723469,5.634248,5.623239,5.710854,5.768625,5.856847,5.873334,5.899799,5.887997,5.970876,5.968917,5.97158,5.986237,5.982272,5.988935,5.983364,6.079071,6.088407,6.146643,6.182387,6.198446,6.228277,6.289527,6.310722,6.349985,6.396256,6.441753,6.493771,6.563498,6.632435,6.709087,"0.9%"
East North Central,"Natural Gas Delivered: Industrial: East North Central": Reference case,78-AEO2018.27.ref2018-d121317a,"2017 $/Mcf",4.120151,4.554867,4.613469,4.926445,5.174455,5.137299,5.16164,5.297547,5.378426,5.491616,5.507681,5.538898,5.521493,5.588942,5.574496,5.570237,5.579195,5.575091,5.57971,5.575094,5.670719,5.688659,5.74962,5.786573,5.80493,5.837173,5.902025,5.930952,5.975891,6.032382,6.084537,6.138137,6.214565,6.286188,6.367392,"1.0%"
West North Central,"Natural Gas Delivered: Industrial: West North Central": Reference case,78-AEO2018.28.ref2018-d121317a,"2017 $/Mcf",3.518316,4.020617,4.078253,4.413694,4.691066,4.661034,4.692923,4.827007,4.923824,5.044801,5.078614,5.118827,5.116823,5.180288,5.177274,5.177085,5.189521,5.188131,5.197269,5.195124,5.292041,5.312948,5.380162,5.425146,5.451053,5.487057,5.552481,5.593125,5.6489,5.707409,5.767604,5.825365,5.916274,5.992028,6.08374,"1.3%"
South Atlantic,"Natural Gas Delivered: Industrial: South Atlantic": Reference case,78-AEO2018.29.ref2018-d121317a,"2017 $/Mcf",4.196777,4.512224,4.607058,4.879059,5.115533,5.057008,5.083876,5.201494,5.287366,5.402823,5.431177,5.469824,5.463664,5.531632,5.52759,5.527735,5.53898,5.529963,5.532509,5.525199,5.622861,5.633167,5.693898,5.733135,5.750989,5.780232,5.845806,5.88118,5.922374,5.966634,6.012028,6.061493,6.138737,6.202936,6.288017,"1.0%"
East South Central,"Natural Gas Delivered: Industrial: East South Central": Reference case,78-AEO2018.30.ref2018-d121317a,"2017 $/Mcf",3.518754,4.04676,4.080376,4.416506,4.696466,4.65706,4.689273,4.824724,4.925455,5.050788,5.082675,5.124508,5.115248,5.175263,5.167254,5.162787,5.169893,5.159989,5.157545,5.147199,5.240864,5.251455,5.312902,5.35116,5.368058,5.396614,5.456329,5.48951,5.533134,5.574493,5.616451,5.661544,5.736411,5.798634,5.875306,"1.1%"
West South Central,"Natural Gas Delivered: Industrial: West South Central": Reference case,78-AEO2018.31.ref2018-d121317a,"2017 $/Mcf",2.859557,3.438077,3.456903,3.794369,4.096506,4.065654,4.104897,4.243193,4.357214,4.489376,4.533857,4.587074,4.605262,4.673782,4.678634,4.683136,4.692068,4.687047,4.686782,4.674394,4.766791,4.781115,4.846806,4.893066,4.916483,4.945087,5.000391,5.037029,5.086483,5.129839,5.174189,5.219066,5.299016,5.361741,5.440773,"1.4%"
Mountain,"Natural Gas Delivered: Industrial: Mountain": Reference case,78-AEO2018.32.ref2018-d121317a,"2017 $/Mcf",3.631858,4.144089,4.2056,4.529877,4.803452,4.80336,4.837828,4.980501,5.074456,5.209058,5.251776,5.302114,5.309952,5.375606,5.37735,5.38111,5.396898,5.403096,5.416748,5.416777,5.511259,5.538198,5.599226,5.646113,5.675869,5.7219,5.791601,5.835772,5.892555,5.953193,6.017143,6.070868,6.159122,6.237526,6.330806,"1.3%"
Pacific,"Natural Gas Delivered: Industrial: Pacific": Reference case,78-AEO2018.33.ref2018-d121317a,"2017 $/Mcf",4.247698,4.796121,4.886231,5.245413,5.485067,5.47854,5.51626,5.648802,5.745778,5.900793,5.960891,6.016567,6.030285,6.079195,6.07978,6.076108,6.096834,6.103437,6.133168,6.140625,6.24738,6.26729,6.32867,6.388413,6.428945,6.488732,6.561968,6.616393,6.679066,6.736686,6.799755,6.85788,6.961364,7.037414,7.139543,"1.2%"
Electric Power,"Natural Gas Delivered: Electric Power: Average": Reference case,78-AEO2018.35.ref2018-d121317a,"2017 $/Mcf",3.033173,3.583952,3.693799,4.054646,4.298561,4.236145,4.276676,4.397644,4.502593,4.629785,4.666312,4.712379,4.718735,4.783057,4.779624,4.7722,4.78775,4.772704,4.780309,4.771749,4.880927,4.883202,4.950775,5.000374,5.028854,5.058542,5.116796,5.158176,5.213727,5.250476,5.296925,5.348631,5.442715,5.506172,5.601576,"1.4%"
New England,"Natural Gas Delivered: Electric Power: New England": Reference case,78-AEO2018.36.ref2018-d121317a,"2017 $/Mcf",4.166002,4.24986,4.49193,4.535095,4.736678,4.649284,4.648435,4.754774,4.860413,4.935626,4.95942,4.989219,4.98786,5.073626,5.109603,5.126318,5.15511,5.132339,5.146295,5.138589,5.270776,5.280609,5.356496,5.39764,5.42508,5.459062,5.52249,5.551039,5.608756,5.654769,5.713335,5.78136,5.887363,5.959095,6.063092,"1.1%"
Middle Atlantic,"Natural Gas Delivered: Electric Power: Middle Atlantic": Reference case,78-AEO2018.37.ref2018-d121317a,"2017 $/Mcf",2.962535,3.366867,3.678747,4.010927,4.219897,4.118024,4.126853,4.219289,4.281349,4.373629,4.376907,4.40614,4.391078,4.481302,4.474642,4.475154,4.49382,4.483757,4.498661,4.492307,4.607965,4.605388,4.669653,4.709725,4.730979,4.757656,4.816021,4.839145,4.890733,4.93189,4.982966,5.039023,5.129861,5.19978,5.287862,"1.4%"
East North Central,"Natural Gas Delivered: Electric Power: East North Central": Reference case,78-AEO2018.38.ref2018-d121317a,"2017 $/Mcf",2.916623,3.405438,3.466348,3.816825,4.06819,3.999843,4.050187,4.204546,4.310653,4.415319,4.431151,4.459078,4.458106,4.514761,4.508986,4.496637,4.509107,4.494589,4.502871,4.495084,4.599323,4.601883,4.672052,4.726109,4.750077,4.772333,4.817339,4.859596,4.914652,4.956681,5.013204,5.072627,5.165145,5.229415,5.314417,"1.4%"
West North Central,"Natural Gas Delivered: Electric Power: West North Central": Reference case,78-AEO2018.39.ref2018-d121317a,"2017 $/Mcf",2.832529,3.493647,3.587263,4.016236,4.459168,4.387082,4.436206,4.540061,4.689031,4.802105,4.865393,4.901167,4.935463,4.959562,4.970531,4.968961,4.968605,4.950608,4.967591,4.974764,5.088501,5.08651,5.180089,5.25313,5.285186,5.307692,5.366253,5.439831,5.479382,5.487792,5.566482,5.626245,5.752878,5.830618,5.974895,"1.6%"
South Atlantic,"Natural Gas Delivered: Electric Power: South Atlantic": Reference case,78-AEO2018.40.ref2018-d121317a,"2017 $/Mcf",3.652955,4.111027,4.182047,4.533444,4.754626,4.680376,4.727143,4.862009,4.946322,5.072757,5.106714,5.15412,5.151333,5.219964,5.206196,5.193124,5.209222,5.197489,5.201044,5.189789,5.291704,5.290199,5.357553,5.401492,5.430198,5.455695,5.514043,5.550218,5.603971,5.636847,5.685251,5.731277,5.81186,5.873892,5.966088,"1.1%"
East South Central,"Natural Gas Delivered: Electric Power: East South Central": Reference case,78-AEO2018.41.ref2018-d121317a,"2017 $/Mcf",2.709964,3.366076,3.422327,3.805802,4.113488,4.037791,4.089573,4.200233,4.331012,4.464283,4.4979,4.546142,4.552612,4.605067,4.605095,4.583507,4.589372,4.562762,4.546624,4.532704,4.629612,4.630707,4.702327,4.751673,4.773338,4.804082,4.857054,4.905886,4.959848,4.990977,5.019269,5.070157,5.161359,5.221128,5.306625,"1.4%"
West South Central,"Natural Gas Delivered: Electric Power: West South Central": Reference case,78-AEO2018.42.ref2018-d121317a,"2017 $/Mcf",2.506472,3.252858,3.316802,3.685532,3.987464,3.928674,3.975502,4.109596,4.238156,4.381029,4.430431,4.499845,4.53166,4.602996,4.605848,4.606886,4.61608,4.60395,4.605277,4.58804,4.700314,4.705585,4.78565,4.843399,4.875091,4.905255,4.956839,4.998796,5.064763,5.101794,5.145758,5.196097,5.295416,5.354467,5.444242,"1.6%"
Mountain,"Natural Gas Delivered: Electric Power: Mountain": Reference case,78-AEO2018.43.ref2018-d121317a,"2017 $/Mcf",2.868114,3.635624,3.753951,4.130421,4.371217,4.34269,4.375022,4.52182,4.654113,4.810009,4.864969,4.931441,4.957648,5.018414,5.020764,5.018025,5.045202,5.037345,5.05918,5.059402,5.179358,5.188849,5.248377,5.303179,5.353341,5.403798,5.471007,5.530304,5.601711,5.654546,5.709305,5.774213,5.907904,5.974189,6.087821,"1.6%"
Pacific,"Natural Gas Delivered: Electric Power: Pacific": Reference case,78-AEO2018.44.ref2018-d121317a,"2017 $/Mcf",2.967406,3.641945,3.789989,4.129375,4.251351,4.236642,4.238309,4.345904,4.465254,4.66549,4.743946,4.795086,4.795345,4.841584,4.812638,4.774894,4.786758,4.778422,4.813066,4.815924,4.938795,4.948814,5.017257,5.082731,5.133573,5.199636,5.287349,5.346771,5.443434,5.514198,5.50192,5.56639,5.680998,5.748837,5.875452,"1.5%"
Transportation,"Natural Gas Delivered: Transportation: Average": Reference case,78-AEO2018.46.ref2018-d121317a,"2017 $/Mcf",14.807285,14.987109,14.67421,14.61916,14.644644,13.994114,13.805202,13.763538,14.411658,14.320245,14.116367,13.963523,13.788163,13.79766,13.653495,13.534866,13.436969,13.347425,13.274966,13.201078,13.224049,13.194944,13.197474,13.199788,13.183655,13.189336,13.227422,13.233183,13.256303,13.292978,13.330655,13.371527,13.446612,13.506549,13.590764,"-0.3%"
New England,"Natural Gas Delivered: Transportation: New England": Reference case,78-AEO2018.47.ref2018-d121317a,"2017 $/Mcf",18.62104,18.409805,18.362801,18.146275,18.233805,17.951035,17.863916,17.856804,17.855808,17.837017,17.739647,17.650761,17.532827,17.476507,17.375875,17.282972,17.192421,17.071198,16.967459,16.856615,16.829489,16.733763,16.686962,16.623966,16.545305,16.478909,16.453056,16.390799,16.358133,16.325798,16.304539,16.290844,16.297174,16.312691,16.339376,"-0.4%"
Middle Atlantic,"Natural Gas Delivered: Transportation: Middle Atlantic": Reference case,78-AEO2018.48.ref2018-d121317a,"2017 $/Mcf",16.311403,16.251551,15.92376,15.754869,15.679062,14.762854,14.567411,14.572649,14.60632,14.632043,14.517932,14.444556,14.310019,14.306189,14.195562,14.101236,14.03019,13.949688,13.881065,13.809505,13.850509,13.790852,13.794858,13.776252,13.740952,13.734615,13.776623,13.761207,13.773845,13.806821,13.840457,13.877663,13.928496,13.9942,14.061642,"-0.4%"
East North Central,"Natural Gas Delivered: Transportation: East North Central": Reference case,78-AEO2018.49.ref2018-d121317a,"2017 $/Mcf",15.289907,15.505163,15.360093,15.388988,15.38612,15.167151,14.959843,14.822261,14.563019,14.368526,14.064145,13.836923,13.594499,13.482647,13.298029,13.155231,13.037721,12.936904,12.851861,12.775508,12.796375,12.763741,12.768216,12.764892,12.747212,12.758953,12.814785,12.826395,12.86164,12.922324,12.979628,13.039871,13.122966,13.201969,13.294827,"-0.5%"
West North Central,"Natural Gas Delivered: Transportation: West North Central": Reference case,78-AEO2018.50.ref2018-d121317a,"2017 $/Mcf",13.858027,14.19333,14.03623,14.094278,14.108047,13.857024,13.579213,13.357287,13.047944,12.801274,12.476655,12.238324,12.005893,11.89194,11.729174,11.598622,11.500672,11.417006,11.357581,11.301563,11.353575,11.345421,11.386696,11.416846,11.433236,11.469588,11.54487,11.591867,11.660983,11.742659,11.828013,11.912268,12.032146,12.135989,12.259563,"-0.4%"
South Atlantic,"Natural Gas Delivered: Transportation: South Atlantic": Reference case,78-AEO2018.51.ref2018-d121317a,"2017 $/Mcf",13.479002,13.47605,13.334884,13.381724,13.452065,12.970774,12.824402,12.809069,12.737126,12.693297,12.543086,12.443665,12.308537,12.285228,12.178043,12.099679,12.037926,11.975784,11.929252,11.88336,11.940683,11.93246,11.962769,11.983258,11.985623,12.009694,12.078476,12.103868,12.141632,12.197127,12.25168,12.313996,12.401857,12.48034,12.581146,"-0.2%"
East South Central,"Natural Gas Delivered: Transportation: East South Central": Reference case,78-AEO2018.52.ref2018-d121317a,"2017 $/Mcf",14.340596,14.708997,14.533669,14.618031,14.722021,14.4149,14.302001,14.302701,14.230795,14.183352,13.995788,13.856641,13.669857,13.592563,13.436959,13.309773,13.202225,13.101858,13.013582,12.933967,12.956203,12.912267,12.913378,12.907134,12.880784,12.878305,12.922595,12.926432,12.949636,12.984528,13.019927,13.059587,13.128592,13.186284,13.262131,"-0.3%"
West South Central,"Natural Gas Delivered: Transportation: West South Central": Reference case,78-AEO2018.53.ref2018-d121317a,"2017 $/Mcf",13.070681,13.406603,12.829414,12.729097,12.791989,12.06473,11.914611,11.921453,11.924196,11.914583,11.787299,11.699708,11.585651,11.550379,11.451247,11.367184,11.298869,11.229282,11.172591,11.111826,11.162116,11.146139,11.179505,11.202254,11.205223,11.21855,11.264585,11.288594,11.330512,11.374474,11.420753,11.470618,11.558601,11.629576,11.7212,"-0.4%"
Mountain,"Natural Gas Delivered: Transportation: Mountain": Reference case,78-AEO2018.54.ref2018-d121317a,"2017 $/Mcf",13.526431,13.794782,13.645326,13.706041,13.707633,13.471521,13.195593,12.974397,12.632809,12.386487,12.093376,11.89776,11.719241,11.633114,11.508623,11.414996,11.341376,11.292643,11.256815,11.226957,11.283157,11.297046,11.338083,11.38611,11.416812,11.468072,11.554832,11.610821,11.685362,11.773663,11.868093,11.953864,12.077249,12.18184,12.312216,"-0.3%"
Pacific,"Natural Gas Delivered: Transportation: Pacific": Reference case,78-AEO2018.55.ref2018-d121317a,"2017 $/Mcf",16.271513,16.541363,16.115549,16.033548,16.100491,15.196317,15.040892,15.081553,17.976688,18.06003,17.998371,17.957468,17.862429,18.226492,18.129555,18.033861,17.975351,17.903421,17.860163,17.799397,17.855953,17.808659,17.821377,17.828157,17.819532,17.83602,17.880856,17.89805,17.931019,17.967461,18.01322,18.049276,18.131071,18.195807,18.284758,"0.3%"
All Sectors,"Natural Gas Delivered: All Sectors: Average": Reference case,78-AEO2018.57.ref2018-d121317a,"2017 $/Mcf",5.04292,5.732249,5.737248,6.016552,6.297193,6.308682,6.36148,6.520805,6.701208,6.828087,6.864458,6.909073,6.896657,6.980071,6.975581,6.978841,6.999738,7.00236,7.008089,7.010431,7.106782,7.119121,7.179351,7.220511,7.241535,7.277019,7.340295,7.373008,7.43088,7.488302,7.541325,7.595708,7.674918,7.75067,7.830998,"0.9%"
New England,"Natural Gas Delivered: All Sectors: New England": Reference case,78-AEO2018.58.ref2018-d121317a,"2017 $/Mcf",7.571948,8.371694,8.586882,8.433035,8.74845,8.738494,8.914908,9.102108,9.179056,9.281793,9.338381,9.390122,9.385202,9.486695,9.380219,9.337978,9.358373,9.416204,9.452193,9.464245,9.58791,9.580986,9.578758,9.630699,9.678453,9.696082,9.728792,9.750944,9.819075,9.845134,9.885634,9.93114,9.979249,10.027006,10.075626,"0.6%"
Middle Atlantic,"Natural Gas Delivered: All Sectors: Middle Atlantic": Reference case,78-AEO2018.59.ref2018-d121317a,"2017 $/Mcf",5.886981,6.630892,6.770529,7.079366,7.314658,7.389408,7.468126,7.702726,7.733612,7.832006,7.859241,7.911457,7.896928,7.965736,7.949689,7.975328,7.99652,7.998837,7.994951,8.001601,8.061976,8.098362,8.152378,8.184465,8.193222,8.231542,8.299931,8.331056,8.35351,8.415521,8.452736,8.508452,8.551897,8.640522,8.711696,"0.8%"
East North Central,"Natural Gas Delivered: All Sectors: East North Central": Reference case,78-AEO2018.60.ref2018-d121317a,"2017 $/Mcf",5.587531,6.365847,6.292007,6.536704,6.831622,6.875331,6.927402,7.065046,7.111114,7.220111,7.246803,7.263305,7.219847,7.284287,7.268636,7.255192,7.269449,7.255238,7.24593,7.236614,7.329601,7.333094,7.369012,7.393676,7.400698,7.427251,7.485951,7.497584,7.533186,7.571641,7.62442,7.660462,7.722752,7.789158,7.847807,"0.6%"
