"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2017&cases=ref2017&sourcekey=0"
"Sun Oct 28 2018 17:17:29 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Total,"Energy Use: Residential: Total": Reference case,2-AEO2017.12.ref2017-d120816a,"quads",20.541992,20.007259,20.274094,20.381836,20.374641,20.236731,20.119858,20.016405,19.958258,19.909483,19.846621,19.75576,19.697224,19.651905,19.630394,19.599457,19.591251,19.573046,19.602673,19.597404,19.575077,19.615746,19.608669,19.639233,19.671005,19.712421,19.727407,19.743858,19.766838,19.76911,19.747086,19.739191,19.719263,19.7015,19.691608,19.626163,"-0.1%"
Commercial,,2-AEO2017.14.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Commercial: Propane": Reference case,2-AEO2017.15.ref2017-d120816a,"quads",0.15513,0.19481,0.183898,0.180508,0.181949,0.183785,0.185354,0.186215,0.187691,0.189901,0.19264,0.195006,0.196678,0.198952,0.201385,0.203209,0.203911,0.205063,0.207309,0.208822,0.210861,0.211907,0.213701,0.214854,0.215482,0.217236,0.218566,0.220401,0.221982,0.223675,0.225741,0.22737,0.22893,0.230331,0.232182,0.23359,"0.5%"
Motor Gasoline,"Energy Use: Commercial: Motor Gasoline": Reference case,2-AEO2017.16.ref2017-d120816a,"quads",0.06178,0.06676,0.059231,0.06024,0.05892,0.058561,0.05832,0.058353,0.059073,0.059822,0.060426,0.061091,0.061919,0.062898,0.063635,0.064247,0.064865,0.065458,0.066401,0.067088,0.06787,0.068327,0.069172,0.069957,0.070553,0.071289,0.072059,0.0729,0.073712,0.074518,0.075323,0.076123,0.076897,0.077857,0.078639,0.079232,"0.5%"
Kerosene,"Energy Use: Commercial: Kerosene": Reference case,2-AEO2017.17.ref2017-d120816a,"quads",0.00145,0.00726,0.003822,0.003668,0.00375,0.003915,0.004099,0.004258,0.004424,0.00459,0.004725,0.004869,0.005017,0.005212,0.005367,0.005491,0.005618,0.005733,0.00593,0.006068,0.006232,0.006332,0.006505,0.006655,0.00678,0.006929,0.0071,0.007267,0.007427,0.007584,0.007738,0.007883,0.008003,0.00816,0.008295,0.008422,"0.4%"
Distillate Fuel Oil,"Energy Use: Commercial: Distillate Fuel Oil": Reference case,2-AEO2017.18.ref2017-d120816a,"quads",0.34434,0.4065,0.442418,0.429474,0.419545,0.414594,0.411966,0.410003,0.407501,0.404755,0.40127,0.397883,0.394978,0.392861,0.39068,0.387884,0.384867,0.381752,0.37961,0.377507,0.375526,0.372894,0.370794,0.369013,0.367057,0.365144,0.363529,0.362232,0.361054,0.359828,0.35847,0.356836,0.354963,0.353253,0.351628,0.349827,"-0.4%"
Residual Fuel Oil,"Energy Use: Commercial: Residual Fuel Oil": Reference case,2-AEO2017.19.ref2017-d120816a,"quads",0.00767,0.05514,0.040588,0.036704,0.044479,0.056642,0.0707,0.070627,0.068634,0.067503,0.065487,0.064053,0.064265,0.065006,0.064304,0.06309,0.061934,0.060554,0.061791,0.061175,0.061424,0.05986,0.060412,0.060887,0.06072,0.060825,0.060842,0.06212,0.062949,0.063551,0.06411,0.064228,0.064184,0.064873,0.065078,0.064897,"0.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Commercial: Liquid Fuels Subtotal": Reference case,2-AEO2017.20.ref2017-d120816a,"quads",0.57037,0.73047,0.729957,0.710594,0.708642,0.717498,0.73044,0.729457,0.727322,0.726572,0.724549,0.722901,0.722858,0.724928,0.725372,0.723919,0.721195,0.71856,0.721041,0.720659,0.721914,0.719321,0.720583,0.721368,0.720592,0.721423,0.722096,0.72492,0.727123,0.729155,0.731383,0.73244,0.732977,0.734473,0.735822,0.735967,"0.0%"
Natural Gas,"Energy Use: Commercial: Natural Gas": Reference case,2-AEO2017.21.ref2017-d120816a,"quads",3.301152,3.226752,3.325834,3.318756,3.273736,3.232385,3.214168,3.21874,3.225004,3.231071,3.237042,3.244271,3.244186,3.247428,3.255235,3.269132,3.285259,3.304047,3.325924,3.347447,3.364423,3.383347,3.403905,3.427597,3.452042,3.480521,3.509968,3.53896,3.567882,3.598798,3.629244,3.660043,3.69194,3.722347,3.753978,3.785122,"0.5%"
Coal,"Energy Use: Commercial: Coal": Reference case,2-AEO2017.22.ref2017-d120816a,"quads",0.03149,0.03544,0.037277,0.039103,0.040897,0.042682,0.044503,0.044492,0.044493,0.044499,0.044487,0.044477,0.044485,0.044485,0.044492,0.044485,0.044496,0.044507,0.044509,0.044508,0.044512,0.04451,0.044516,0.044519,0.044521,0.044519,0.044524,0.044521,0.044512,0.044501,0.044491,0.044481,0.044466,0.044454,0.044439,0.044424,"0.7%"
Renewable Energy,"Energy Use: Commercial: Renewable Energy": Reference case,2-AEO2017.23.ref2017-d120816a,"quads",0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,0.131479,"0.0%"
Electricity,"Energy Use: Commercial: Electricity": Reference case,2-AEO2017.24.ref2017-d120816a,"quads",4.634924,4.641009,4.597126,4.618227,4.621747,4.612319,4.610613,4.598606,4.598551,4.610838,4.619977,4.62468,4.635611,4.651956,4.672997,4.681503,4.695568,4.715687,4.740512,4.769536,4.800977,4.834274,4.871173,4.910563,4.953123,4.992985,5.036818,5.082929,5.131355,5.181704,5.234133,5.290237,5.347418,5.407376,5.469881,5.534775,"0.5%"
Delivered Energy,"Energy Use: Commercial: Delivered Energy": Reference case,2-AEO2017.25.ref2017-d120816a,"quads",8.669416,8.765149,8.821673,8.818159,8.776501,8.736363,8.731203,8.722775,8.72685,8.744458,8.757532,8.767808,8.778619,8.800276,8.829575,8.850518,8.877995,8.91428,8.963465,9.01363,9.063306,9.11293,9.171656,9.235524,9.301757,9.370927,9.444884,9.522808,9.602351,9.685638,9.770729,9.858681,9.94828,10.04013,10.135597,10.231766,"0.5%"
Electricity Related Losses,"Energy Use: Commercial: Electricity Related Losses": Reference case,2-AEO2017.26.ref2017-d120816a,"quads",9.28633,9.055526,9.010788,8.963281,9.002319,9.031188,9.018705,8.983305,8.978977,8.957599,8.908816,8.827955,8.785245,8.748608,8.73711,8.712185,8.708842,8.70086,8.73236,8.721922,8.702349,8.74434,8.742889,8.774091,8.81265,8.867764,8.913669,8.967233,9.035265,9.085917,9.11427,9.165364,9.21339,9.28372,9.370248,9.408298,"0.1%"
Total,"Energy Use: Commercial: Total": Reference case,2-AEO2017.27.ref2017-d120816a,"quads",17.955746,17.820675,17.832462,17.781441,17.77882,17.767551,17.749908,17.706079,17.705826,17.702057,17.666348,17.595764,17.563864,17.548883,17.566685,17.562702,17.586838,17.615139,17.695824,17.735552,17.765656,17.857269,17.914545,18.009615,18.114407,18.238691,18.358553,18.49004,18.637615,18.771557,18.884998,19.024044,19.161671,19.323849,19.505844,19.640064,"0.3%"
Industrial,,2-AEO2017.29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Industrial: Liquefied Petroleum Gases": Reference case,2-AEO2017.30.ref2017-d120816a,"quads",2.4929,2.4933,2.5545,2.747988,2.886811,2.947256,3.010158,3.096468,3.179669,3.232251,3.270625,3.321694,3.329534,3.334244,3.349242,3.376571,3.402171,3.426894,3.440878,3.476791,3.506245,3.536477,3.557736,3.582164,3.6254,3.654427,3.659599,3.665896,3.67823,3.688343,3.697359,3.702023,3.725948,3.746467,3.772991,3.820226,"1.3%"
Motor Gasoline,"Energy Use: Industrial: Motor Gasoline": Reference case,2-AEO2017.31.ref2017-d120816a,"quads",0.2199,0.2243,0.2249,0.225113,0.225432,0.225496,0.225496,0.2256,0.226228,0.226913,0.227232,0.226422,0.225315,0.225258,0.225525,0.225533,0.225528,0.225955,0.226186,0.22688,0.227616,0.228059,0.228718,0.22961,0.230302,0.230759,0.231355,0.232141,0.233064,0.233791,0.234413,0.235138,0.235992,0.236837,0.237997,0.239286,"0.2%"
Distillate Fuel Oil,"Energy Use: Industrial: Distillate Fuel Oil": Reference case,2-AEO2017.32.ref2017-d120816a,"quads",1.336092,1.292092,1.321292,1.365511,1.410293,1.433237,1.455807,1.480561,1.508449,1.524506,1.535365,1.539494,1.544996,1.545754,1.547972,1.552689,1.557368,1.557775,1.560546,1.570974,1.583606,1.592163,1.600497,1.61075,1.618964,1.627645,1.638178,1.647456,1.660875,1.674288,1.686482,1.69901,1.710607,1.721555,1.733657,1.748017,"0.9%"
Residual Fuel Oil,"Energy Use: Industrial: Residual Fuel Oil": Reference case,2-AEO2017.33.ref2017-d120816a,"quads",0.0403,0.0535,0.0398,0.037255,0.041493,0.045051,0.044615,0.044324,0.045575,0.046601,0.046902,0.047654,0.048881,0.049138,0.048871,0.048152,0.047616,0.04651,0.046157,0.045582,0.045968,0.045183,0.045183,0.045165,0.045179,0.044829,0.044748,0.045369,0.046177,0.046666,0.047209,0.047544,0.04785,0.048692,0.048947,0.049433,"-0.2%"
Petrochemical Feedstocks,"Energy Use: Industrial: Petrochemical Feedstocks": Reference case,2-AEO2017.34.ref2017-d120816a,"quads",0.6571,0.6567,0.6801,0.761703,0.840101,0.838118,0.866471,0.903134,0.938143,0.960485,0.976471,0.997248,1.000752,1.002317,1.007645,1.017545,1.027358,1.037531,1.043203,1.056787,1.067524,1.079728,1.087825,1.097263,1.115798,1.128305,1.130799,1.133472,1.137576,1.140647,1.143169,1.143729,1.153273,1.162223,1.173912,1.194861,"1.8%"
Other Petroleum,"Energy Use: Industrial: Other Petroleum": Reference case,2-AEO2017.35.ref2017-d120816a,"quads",3.389917,3.420018,3.512418,3.660426,3.617715,3.55248,3.543187,3.551626,3.563682,3.57685,3.570316,3.567835,3.576812,3.583076,3.61153,3.647784,3.670228,3.684809,3.692879,3.715348,3.732524,3.757113,3.786452,3.80886,3.850502,3.8738,3.896566,3.925692,3.956532,3.992099,4.028317,4.06261,4.091663,4.120217,4.14804,4.191868,"0.6%"
Petroleum and Other Liquids Subtotal,"Energy Use: Industrial: Liquid Fuels Subtotal": Reference case,2-AEO2017.36.ref2017-d120816a,"quads",8.136209,8.13991,8.33301,8.797996,9.021845,9.041638,9.145734,9.301713,9.461746,9.567607,9.62691,9.700347,9.72629,9.739786,9.790787,9.868275,9.93027,9.979474,10.009849,10.092361,10.163484,10.238724,10.30641,10.373813,10.486146,10.559763,10.601245,10.650026,10.712454,10.775832,10.836948,10.890055,10.965334,11.035991,11.115541,11.243692,"1.0%"
Natural Gas,"Energy Use: Industrial: Natural Gas": Reference case,2-AEO2017.37.ref2017-d120816a,"quads",7.7757,7.948704,8.035201,8.292893,8.51012,8.592904,8.746511,8.921569,9.055437,9.126934,9.17168,9.208337,9.083787,9.08465,9.095231,9.119181,9.128681,9.186626,9.242893,9.319527,9.37844,9.475878,9.541924,9.602606,9.702723,9.771321,9.819653,9.86714,9.91624,9.989804,10.060245,10.129956,10.200499,10.252593,10.34789,10.435516,"0.8%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Industrial: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2017.38.ref2017-d120816a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Industrial: Lease and Plant Fuel": Reference case,2-AEO2017.39.ref2017-d120816a,"quads",1.630905,1.616485,1.68805,1.70691,1.704999,1.692746,1.703788,1.716056,1.735648,1.762232,1.788599,1.820695,1.823732,1.836249,1.848278,1.856563,1.85454,1.863152,1.869971,1.887709,1.916043,1.92637,1.94617,1.958326,1.969297,1.980987,1.993424,1.998907,2.002138,2.010792,2.019177,2.034487,2.048041,2.058902,2.067372,2.088311,"0.8%"
Natural Gas Liquefaction for Export,"Energy Use: Industrial: Liquefaction": Reference case,2-AEO2017.40.ref2017-d120816a,"quads",0,0.016396,0.055049,0.105097,0.193543,0.300965,0.31367,0.327444,0.348104,0.368764,0.382537,0.39631,0.410084,0.41697,0.41697,0.423857,0.430744,0.43763,0.444517,0.451404,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,0.45829,"10.3%"
Natural Gas Subtotal,"Energy Use: Industrial: Natural Gas Subtotal": Reference case,2-AEO2017.41.ref2017-d120816a,"quads",9.406605,9.581584,9.7783,10.104901,10.408662,10.586615,10.763968,10.965069,11.139188,11.25793,11.342816,11.425343,11.317602,11.337869,11.360479,11.399601,11.413965,11.487409,11.557381,11.658639,11.752773,11.860538,11.946384,12.019221,12.13031,12.210598,12.271367,12.324337,12.376668,12.458886,12.537711,12.622733,12.70683,12.769785,12.873552,12.982117,"0.9%"
Metallurgical Coal,"Energy Use: Industrial: Metallurgical Coal": Reference case,2-AEO2017.42.ref2017-d120816a,"quads",0.5616,0.5219,0.5232,0.489715,0.473129,0.472519,0.4791,0.471329,0.459253,0.443005,0.430042,0.424838,0.414933,0.408553,0.399285,0.3937,0.378123,0.363825,0.356555,0.345438,0.330968,0.321477,0.310688,0.302017,0.288195,0.276736,0.262452,0.253083,0.24357,0.23734,0.230072,0.223195,0.21567,0.207674,0.202984,0.195893,"-2.8%"
Other Industrial Coal,"Energy Use: Industrial: Other Industrial Coal": Reference case,2-AEO2017.43.ref2017-d120816a,"quads",0.763517,0.733855,0.713689,0.698873,0.714134,0.722134,0.73655,0.749146,0.757424,0.756119,0.751174,0.7445,0.73917,0.728692,0.717276,0.706756,0.694716,0.686292,0.682065,0.678167,0.673421,0.670096,0.668251,0.667198,0.664802,0.663899,0.662561,0.661694,0.661776,0.662585,0.662815,0.663341,0.662728,0.662294,0.663075,0.663331,"-0.3%"
Coal-to-Liquids Heat and Power,"Energy Use: Industrial: Coal-to-Liquids Heat and Power": Reference case,2-AEO2017.45.ref2017-d120816a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Industrial: Net Coal Coke Imports": Reference case,2-AEO2017.46.ref2017-d120816a,"quads",-0.0178,-0.0016,0.0039,0.001689,0.002854,0.003031,0.003868,0.003173,0.003913,0.00394,0.004055,0.003997,0.004245,0.004369,0.004581,0.004838,0.005122,0.005425,0.005994,0.00643,0.006843,0.007161,0.007821,0.008503,0.008942,0.009597,0.010136,0.010182,0.01045,0.010674,0.010943,0.011343,0.011511,0.011967,0.012337,0.012647,"- -"
Coal Subtotal,"Energy Use: Industrial: Coal Subtotal": Reference case,2-AEO2017.47.ref2017-d120816a,"quads",1.307317,1.254155,1.240789,1.190277,1.190117,1.197684,1.219517,1.223648,1.22059,1.203064,1.185271,1.173336,1.158348,1.141615,1.121142,1.105294,1.077961,1.055543,1.044614,1.030035,1.011232,0.998734,0.986759,0.977718,0.96194,0.950232,0.935149,0.924959,0.915796,0.910598,0.90383,0.897879,0.889909,0.881935,0.878396,0.871871,"-1.1%"
Biofuels Heat and Coproducts,"Energy Use: Industrial: Biofuels Heat and Coproducts": Reference case,2-AEO2017.48.ref2017-d120816a,"quads",0.847706,0.898128,0.897241,0.872821,0.870953,0.866112,0.86183,0.86224,0.862307,0.861538,0.862265,0.853404,0.851329,0.851019,0.849635,0.850088,0.839552,0.836616,0.836565,0.836565,0.836565,0.836566,0.837562,0.839557,0.841465,0.841987,0.83785,0.837857,0.835229,0.835229,0.834017,0.833936,0.835495,0.834911,0.82205,0.797979,"-0.3%"
Renewable Energy,"Energy Use: Industrial: Renewable Energy": Reference case,2-AEO2017.49.ref2017-d120816a,"quads",1.48517,1.44987,1.43187,1.459145,1.472838,1.488229,1.517782,1.551336,1.584233,1.600173,1.600835,1.597255,1.607623,1.614039,1.617502,1.615368,1.614589,1.613617,1.619976,1.628549,1.637501,1.645797,1.6606,1.677137,1.68854,1.701407,1.718246,1.735763,1.755032,1.77231,1.788637,1.803806,1.812228,1.820647,1.830624,1.839856,"0.7%"
Electricity,"Energy Use: Industrial: Electricity": Reference case,2-AEO2017.50.ref2017-d120816a,"quads",3.270601,3.228101,3.271701,3.378345,3.475686,3.534328,3.608845,3.680559,3.74741,3.788575,3.797506,3.796879,3.799236,3.787391,3.783427,3.778486,3.77452,3.777025,3.792595,3.819535,3.841269,3.860676,3.884337,3.914735,3.940055,3.964349,3.986495,4.008253,4.034839,4.060492,4.08461,4.109567,4.130953,4.155188,4.184044,4.218372,"0.8%"
Delivered Energy,"Energy Use: Industrial: Delivered Energy": Reference case,2-AEO2017.51.ref2017-d120816a,"quads",24.453609,24.55175,24.952911,25.803482,26.440102,26.714605,27.117676,27.584566,28.015474,28.278885,28.415604,28.546558,28.460428,28.47172,28.522972,28.617111,28.650858,28.749687,28.860981,29.065691,29.242823,29.441034,29.622053,29.802183,30.048456,30.22834,30.350357,30.481194,30.630018,30.813347,30.985752,31.157974,31.340752,31.498459,31.70421,31.953888,"0.8%"
Electricity Related Losses,"Energy Use: Industrial: Electricity Related Losses": Reference case,2-AEO2017.52.ref2017-d120816a,"quads",6.552831,6.298662,6.412833,6.556858,6.770001,6.920419,7.059172,7.189915,7.317069,7.360164,7.322824,7.247783,7.200177,7.122681,7.073881,7.031687,7.000579,6.968945,6.986231,6.984682,6.962762,6.983274,6.971694,6.994767,7.010189,7.040861,7.054911,7.071305,7.104525,7.119915,7.112589,7.119847,7.117469,7.133885,7.167529,7.170608,"0.4%"
Total,"Energy Use: Industrial: Total": Reference case,2-AEO2017.53.ref2017-d120816a,"quads",31.006439,30.850412,31.365746,32.36034,33.210102,33.635025,34.176849,34.774483,35.332542,35.63905,35.738426,35.794342,35.660606,35.594402,35.596851,35.648796,35.651436,35.718632,35.847214,36.050373,36.205585,36.424309,36.593746,36.796951,37.058643,37.269203,37.40527,37.552498,37.734543,37.933262,38.098343,38.277821,38.458221,38.632343,38.871738,39.124496,"0.7%"
Transportation,,2-AEO2017.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Transportation: Propane": Reference case,2-AEO2017.57.ref2017-d120816a,"quads",0.009125,0.009646,0.01086,0.011001,0.012129,0.012601,0.012822,0.01284,0.012601,0.012424,0.012397,0.012392,0.012365,0.012447,0.012709,0.012969,0.013076,0.013264,0.013397,0.013637,0.0139,0.014248,0.014462,0.014696,0.014942,0.015205,0.015426,0.015695,0.015971,0.016283,0.016674,0.017057,0.0174,0.017664,0.01809,0.018609,"2.0%"
Motor Gasoline,"Energy Use: Transportation: Motor Gasoline": Reference case,2-AEO2017.58.ref2017-d120816a,"quads",17.023485,17.269239,17.413166,17.445385,17.320919,17.137133,16.880505,16.573788,16.206354,15.803304,15.380535,15.018958,14.703791,14.436728,14.199676,13.975634,13.773146,13.592909,13.449182,13.331393,13.229553,13.15521,13.10267,13.077137,13.050788,13.038082,13.038577,13.062039,13.098365,13.140934,13.190816,13.250323,13.309421,13.381938,13.471784,13.557713,"-0.7%"
of which:  E85,"Energy Use: Transportation: E85": Reference case,2-AEO2017.59.ref2017-d120816a,"quads",0.021823,0.030358,0.027557,0.02055,0.023178,0.026642,0.031027,0.046361,0.053451,0.055231,0.067685,0.080302,0.096121,0.113522,0.125256,0.143846,0.148392,0.156719,0.166698,0.174117,0.18069,0.182486,0.18073,0.175772,0.168713,0.158809,0.145629,0.129946,0.115542,0.105331,0.106006,0.114105,0.130077,0.1403,0.148828,0.165843,"5.1%"
Jet Fuel,"Energy Use: Transportation: Jet Fuel": Reference case,2-AEO2017.60.ref2017-d120816a,"quads",2.82828,2.825718,2.873216,2.919703,2.960142,3.010174,3.068857,3.127134,3.180803,3.234803,3.286378,3.33135,3.380847,3.43778,3.490075,3.535084,3.578783,3.625678,3.678716,3.734583,3.791934,3.849159,3.906269,3.968332,4.026964,4.082211,4.13784,4.196018,4.254903,4.313942,4.374897,4.436093,4.493052,4.548305,4.606455,4.664198,"1.5%"
Distillate Fuel Oil,"Energy Use: Transportation: Distillate Fuel Oil": Reference case,2-AEO2017.61.ref2017-d120816a,"quads",6.63035,6.541778,6.722453,6.756972,6.799592,6.743975,6.786178,6.819452,6.834419,6.823278,6.777848,6.691234,6.619528,6.550779,6.485704,6.426102,6.366877,6.309707,6.284126,6.277629,6.28513,6.291053,6.312469,6.346195,6.376573,6.395933,6.431591,6.475205,6.53363,6.593997,6.651299,6.712954,6.769181,6.823872,6.888414,6.956127,"0.2%"
Residual Fuel Oil,"Energy Use: Transportation: Residual Fuel Oil": Reference case,2-AEO2017.62.ref2017-d120816a,"quads",0.452329,0.600135,0.446334,0.441951,0.437445,0.479563,0.486743,0.4945,0.503352,0.513184,0.522257,0.531721,0.541246,0.549422,0.558248,0.568363,0.579083,0.589357,0.601685,0.613834,0.626668,0.634394,0.642234,0.648214,0.656234,0.663586,0.670312,0.67814,0.685957,0.694873,0.70356,0.711314,0.719685,0.726996,0.735389,0.743902,"0.6%"
Other Petroleum,"Energy Use: Transportation: Other Petroleum": Reference case,2-AEO2017.63.ref2017-d120816a,"quads",0.154887,0.15754,0.158664,0.159292,0.159486,0.159212,0.159115,0.159116,0.15902,0.159132,0.159324,0.159394,0.159364,0.159513,0.159747,0.159893,0.159984,0.1601,0.160254,0.160507,0.160765,0.16103,0.161255,0.161538,0.161647,0.161698,0.161763,0.161882,0.161984,0.162139,0.1624,0.162688,0.162829,0.162968,0.163165,0.163381,"0.1%"
Petroleum and Other Liquids Subtotal,"Energy Use: Transportation: Liquid Fuels Subtotal": Reference case,2-AEO2017.64.ref2017-d120816a,"quads",27.098452,27.404051,27.624691,27.734306,27.689713,27.542658,27.39422,27.186829,26.896549,26.546125,26.138739,25.745047,25.417141,25.146671,24.90616,24.678043,24.470951,24.291016,24.187361,24.131582,24.107946,24.105095,24.139359,24.216116,24.287149,24.356716,24.455509,24.58898,24.750809,24.922173,25.099644,25.290426,25.471565,25.661743,25.883297,26.103931,"-0.1%"
