"Natural Gas Delivered Prices by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=78-AEO2017&cases=ref2017&sourcekey=1"
"Wed Oct 31 2018 21:35:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Commercial,"Natural Gas Delivered: Commercial: Average": Reference case,78-AEO2017.13.ref2017-d120816a,"2016 $/Mcf",8.284366,7.418988,8.136849,8.69346,9.325809,9.96024,10.073188,10.136312,10.208899,10.331972,10.468269,10.589713,10.982998,11.104521,11.219981,11.277583,11.353817,11.382032,11.369378,11.439414,11.604927,11.675285,11.744371,11.778619,11.831056,11.80147,11.833364,11.909097,12.006719,12.101873,12.208106,12.29642,12.366972,12.484186,12.54448,12.660903,"1.6%"
New England,"Natural Gas Delivered: Commercial: New England": Reference case,78-AEO2017.14.ref2017-d120816a,"2016 $/Mcf",10.508964,8.712661,9.127052,9.605519,10.219334,10.87888,11.086108,11.234371,11.336965,11.407811,11.442476,11.434216,11.493849,11.611147,11.739037,11.797502,11.777315,11.794425,11.779798,11.881021,12.040217,12.101963,12.176183,12.214214,12.256383,12.224206,12.268486,12.318695,12.400611,12.513783,12.634221,12.741327,12.809366,12.891904,12.954288,12.870223,"1.2%"
Middle Atlantic,"Natural Gas Delivered: Commercial: Middle Atlantic": Reference case,78-AEO2017.15.ref2017-d120816a,"2016 $/Mcf",8.064022,7.169075,7.530355,8.038704,8.643811,9.328345,9.507802,9.681257,9.776537,9.838017,9.814171,9.755996,9.824406,9.926666,10.029877,10.090801,10.109041,10.160033,10.181866,10.321328,10.57142,10.681384,10.760673,10.844911,10.898895,10.829563,10.854185,10.921608,10.996678,11.10683,11.224932,11.330723,11.347394,11.394253,11.412085,11.533844,"1.4%"
East North Central,"Natural Gas Delivered: Commercial: East North Central": Reference case,78-AEO2017.16.ref2017-d120816a,"2016 $/Mcf",7.344437,6.2615,7.000029,7.516227,8.110824,8.75914,8.867366,8.916109,8.987796,9.095658,9.210236,9.314303,9.516776,9.710242,9.832284,9.870481,9.910548,9.915845,9.865719,9.934506,10.162489,10.214525,10.235169,10.234149,10.275802,10.205967,10.222455,10.29329,10.385637,10.447449,10.537157,10.602643,10.680532,10.801236,10.837312,10.93956,"1.7%"
West North Central,"Natural Gas Delivered: Commercial: West North Central": Reference case,78-AEO2017.17.ref2017-d120816a,"2016 $/Mcf",7.77748,6.31139,7.271535,7.901275,8.653952,9.351932,9.372818,9.31123,9.349555,9.449084,9.594796,9.768699,9.874031,10.010743,10.156238,10.211215,10.274531,10.291664,10.259749,10.274164,10.386533,10.417727,10.435257,10.432033,10.474979,10.466785,10.499709,10.58934,10.720691,10.81262,10.935965,11.029833,11.148943,11.316545,11.383698,11.492075,"1.8%"
South Atlantic,"Natural Gas Delivered: Commercial: South Atlantic": Reference case,78-AEO2017.18.ref2017-d120816a,"2016 $/Mcf",9.420283,9.365775,10.037372,10.441326,10.896293,11.378238,11.53742,11.724463,11.820564,12.088751,12.304944,12.524243,12.983109,13.000121,13.084792,13.195008,13.251064,13.26651,13.232563,13.259832,13.337922,13.383759,13.607559,13.656092,13.710576,13.668816,13.732136,13.780947,13.837813,13.893057,13.903536,13.942421,13.946754,13.99997,14.037288,14.224031,"1.2%"
East South Central,"Natural Gas Delivered: Commercial: East South Central": Reference case,78-AEO2017.19.ref2017-d120816a,"2016 $/Mcf",9.136889,8.333332,9.082007,9.735476,10.607283,11.486493,11.509356,11.437598,11.485402,11.620404,11.756764,11.939907,12.105467,12.240182,12.375742,12.451843,12.56826,12.595891,12.561327,12.578218,12.697236,12.728806,12.758627,12.779929,12.838017,12.829757,12.86235,12.969478,13.109647,13.205108,13.35151,13.439217,13.525816,13.652635,13.708516,13.826094,"1.5%"
West South Central,"Natural Gas Delivered: Commercial: West South Central": Reference case,78-AEO2017.20.ref2017-d120816a,"2016 $/Mcf",7.710054,6.993111,7.868878,8.481576,9.317808,10.165337,10.086506,9.991216,10.038785,10.187807,10.327148,10.525784,10.689598,10.8384,10.977313,11.059855,11.184024,11.218867,11.192087,11.215167,11.338691,11.362697,11.393836,11.425607,11.499062,11.505288,11.553524,11.667975,11.818974,11.909986,12.031318,12.130841,12.253403,12.425838,12.489928,12.598256,"1.7%"
Mountain,"Natural Gas Delivered: Commercial: Mountain": Reference case,78-AEO2017.21.ref2017-d120816a,"2016 $/Mcf",8.096594,6.482052,7.275946,7.850248,8.415107,8.846845,8.985769,8.959718,8.99516,9.121389,9.388214,9.596516,9.654501,9.739694,9.80946,9.802666,9.796328,9.828506,9.852675,9.901202,9.995063,10.11985,10.20264,10.236718,10.304452,10.368803,10.387201,10.471863,10.58143,10.711778,10.845571,10.946827,11.074173,11.283131,11.420951,11.559502,"1.7%"
Pacific,"Natural Gas Delivered: Commercial: Pacific": Reference case,78-AEO2017.22.ref2017-d120816a,"2016 $/Mcf",8.966411,9.060794,10.299731,10.952461,11.48438,11.840603,11.88679,11.908836,11.961819,12.073229,12.404028,12.659852,14.727312,14.879845,15.014985,15.049278,15.366593,15.412392,15.434942,15.501507,15.595888,15.683558,15.716408,15.72194,15.766077,15.791915,15.812223,15.8859,15.984387,16.103752,16.232141,16.324539,16.432198,16.620405,16.765596,16.896687,"1.8%"
Industrial,"Natural Gas Delivered: Industrial: Average": Reference case,78-AEO2017.24.ref2017-d120816a,"2016 $/Mcf",3.853356,3.611434,4.212263,4.606162,5.049381,5.487508,5.493327,5.432599,5.445042,5.538426,5.660279,5.786276,5.887212,5.987281,6.071365,6.092369,6.118515,6.103182,6.042571,6.04103,6.134891,6.138967,6.150205,6.144212,6.167541,6.120821,6.125772,6.184753,6.275033,6.33691,6.41828,6.480484,6.548714,6.668749,6.707806,6.792736,"1.9%"
New England,"Natural Gas Delivered: Industrial: New England": Reference case,78-AEO2017.25.ref2017-d120816a,"2016 $/Mcf",6.129093,5.366127,5.704809,5.958431,6.367845,6.821341,6.972389,7.095577,7.169383,7.216247,7.220178,7.179165,7.21434,7.299872,7.396626,7.435075,7.398438,7.396667,7.366963,7.44649,7.586524,7.631913,7.68924,7.717692,7.742875,7.700168,7.726089,7.762908,7.827336,7.924249,8.025187,8.113197,8.163208,8.22129,8.261276,8.209671,"1.3%"
Middle Atlantic,"Natural Gas Delivered: Industrial: Middle Atlantic": Reference case,78-AEO2017.26.ref2017-d120816a,"2016 $/Mcf",6.446813,4.691179,4.448567,4.595624,4.944029,5.421959,5.576117,5.722948,5.813062,5.874861,5.84691,5.788349,5.85285,5.948241,6.044257,6.101748,6.125347,6.176603,6.19826,6.332243,6.589367,6.709555,6.785083,6.872974,6.927398,6.859482,6.877046,6.94993,7.023941,7.132252,7.251184,7.354614,7.372314,7.416921,7.432906,7.550937,"1.4%"
East North Central,"Natural Gas Delivered: Industrial: East North Central": Reference case,78-AEO2017.27.ref2017-d120816a,"2016 $/Mcf",4.781106,4.32021,4.78787,5.019965,5.329897,5.716232,5.786994,5.802306,5.839095,5.922278,6.010953,6.086564,6.253201,6.415941,6.510534,6.527446,6.538967,6.519399,6.447251,6.485275,6.673121,6.698062,6.708379,6.695364,6.720846,6.63316,6.632971,6.684474,6.7554,6.794022,6.853053,6.8973,6.954135,7.053493,7.07167,7.150805,"1.5%"
West North Central,"Natural Gas Delivered: Industrial: West North Central": Reference case,78-AEO2017.28.ref2017-d120816a,"2016 $/Mcf",4.020546,3.569247,4.379774,4.904904,5.402917,5.842774,5.849895,5.769746,5.780314,5.858585,5.974577,6.112294,6.196682,6.308232,6.418093,6.446994,6.478501,6.471694,6.41362,6.40066,6.481148,6.482527,6.480558,6.464105,6.490478,6.462533,6.475773,6.543505,6.651191,6.721381,6.81915,6.894503,6.988679,7.127555,7.173544,7.262731,"2.1%"
South Atlantic,"Natural Gas Delivered: Industrial: South Atlantic": Reference case,78-AEO2017.29.ref2017-d120816a,"2016 $/Mcf",4.073268,4.650171,5.093906,5.32099,5.561206,5.817683,5.922923,6.041777,6.080496,6.266488,6.411658,6.560424,6.882073,6.902445,6.939248,6.988306,6.989375,6.955394,6.875605,6.858803,6.90351,6.896417,7.017148,7.034087,7.046168,6.950975,6.974964,6.987998,7.015378,7.039224,7.044546,7.053628,7.03493,7.058787,7.05812,7.198002,"1.3%"
East South Central,"Natural Gas Delivered: Industrial: East South Central": Reference case,78-AEO2017.30.ref2017-d120816a,"2016 $/Mcf",3.58798,3.955671,4.593207,5.086308,5.667818,6.227905,6.214171,6.105456,6.109674,6.200529,6.295514,6.428232,6.541316,6.63734,6.728011,6.758867,6.817049,6.803876,6.728947,6.705604,6.778688,6.770325,6.762703,6.749334,6.771571,6.726822,6.724757,6.791062,6.891545,6.955313,7.065755,7.122185,7.183859,7.279608,7.305788,7.394143,"1.9%"
West South Central,"Natural Gas Delivered: Industrial: West South Central": Reference case,78-AEO2017.31.ref2017-d120816a,"2016 $/Mcf",2.39039,2.315325,3.073543,3.531696,4.112577,4.696866,4.618922,4.467193,4.461353,4.560017,4.651227,4.789266,4.896742,4.995396,5.084381,5.112228,5.170197,5.149085,5.070632,5.036963,5.104042,5.071312,5.057297,5.043845,5.070125,5.028095,5.033065,5.103136,5.21455,5.265921,5.345071,5.411079,5.492184,5.626817,5.649732,5.718087,"2.7%"
Mountain,"Natural Gas Delivered: Industrial: Mountain": Reference case,78-AEO2017.32.ref2017-d120816a,"2016 $/Mcf",5.072107,4.263238,4.798018,5.180872,5.491187,5.678641,5.736777,5.666318,5.657335,5.741736,5.933001,6.068654,6.087929,6.121104,6.141595,6.095868,6.043873,6.037279,6.022767,6.028941,6.084659,6.177889,6.237377,6.237191,6.268951,6.304584,6.289989,6.338228,6.411019,6.509609,6.611395,6.684319,6.782236,6.952428,7.062598,7.170198,"1.5%"
Pacific,"Natural Gas Delivered: Industrial: Pacific": Reference case,78-AEO2017.33.ref2017-d120816a,"2016 $/Mcf",5.418483,4.956568,5.622571,6.010528,6.316915,6.478724,6.517774,6.484273,6.483332,6.550758,6.86032,7.081485,7.12643,7.191999,7.250287,7.223457,7.200785,7.187974,7.159406,7.175615,7.215309,7.242627,7.231719,7.205837,7.205283,7.204299,7.187322,7.231771,7.301248,7.390511,7.485016,7.547498,7.62416,7.796859,7.914245,8.012174,"1.4%"
Electric Power,"Natural Gas Delivered: Electric Power: Average": Reference case,78-AEO2017.35.ref2017-d120816a,"2016 $/Mcf",3.401547,3.1217,3.654672,3.939656,4.323802,4.694679,4.735089,4.692537,4.718397,4.847119,4.979284,5.100163,5.231235,5.340874,5.43755,5.475249,5.497306,5.493088,5.439938,5.466267,5.581928,5.592918,5.630645,5.640548,5.673125,5.628962,5.644617,5.704433,5.791518,5.863813,5.948856,6.017432,6.086234,6.196519,6.231859,6.345276,"2.1%"
New England,"Natural Gas Delivered: Electric Power: New England": Reference case,78-AEO2017.36.ref2017-d120816a,"2016 $/Mcf",4.49349,3.583114,3.886889,3.99372,4.334286,4.770948,4.877059,4.929136,4.991117,5.075173,5.136121,5.131155,5.213709,5.320177,5.418156,5.462397,5.420224,5.435009,5.411144,5.487911,5.650287,5.714966,5.789387,5.817208,5.837133,5.780723,5.813033,5.8306,5.925313,5.998923,6.09932,6.211375,6.280529,6.335655,6.397046,6.50823,"1.8%"
Middle Atlantic,"Natural Gas Delivered: Electric Power: Middle Atlantic": Reference case,78-AEO2017.37.ref2017-d120816a,"2016 $/Mcf",3.054545,2.951336,3.086413,3.284729,3.632153,4.088408,4.262513,4.406786,4.499594,4.575554,4.584644,4.548819,4.620868,4.695042,4.783761,4.838235,4.806431,4.81327,4.786164,4.884573,5.050545,5.096382,5.166183,5.216885,5.243895,5.205609,5.229649,5.278834,5.336875,5.443821,5.540793,5.62194,5.671046,5.713474,5.744215,5.871457,"2.0%"
East North Central,"Natural Gas Delivered: Electric Power: East North Central": Reference case,78-AEO2017.38.ref2017-d120816a,"2016 $/Mcf",2.957879,2.925195,3.54364,3.802779,4.099458,4.4617,4.570246,4.567353,4.622931,4.762398,4.896677,5.033733,5.242331,5.459465,5.601506,5.666883,5.699513,5.717157,5.660203,5.730339,5.934334,5.945347,5.989733,5.997675,6.031621,5.951295,5.951006,6.011403,6.090279,6.142808,6.207664,6.248053,6.312207,6.437909,6.450438,6.564284,"2.4%"
West North Central,"Natural Gas Delivered: Electric Power: West North Central": Reference case,78-AEO2017.39.ref2017-d120816a,"2016 $/Mcf",3.513004,3.241477,3.996323,4.387976,4.845674,5.205744,5.254142,5.175624,5.162116,5.289701,5.411232,5.549442,5.668886,5.8438,5.947096,5.98427,6.023416,6.026141,5.958954,5.93721,6.079515,6.099824,6.124527,6.141285,6.192371,6.169823,6.194425,6.270857,6.397851,6.466275,6.578584,6.673256,6.787646,6.960577,6.962902,7.098688,"2.3%"
South Atlantic,"Natural Gas Delivered: Electric Power: South Atlantic": Reference case,78-AEO2017.40.ref2017-d120816a,"2016 $/Mcf",4.132924,4.075012,4.498511,4.697547,5.03921,5.388035,5.449686,5.405637,5.422355,5.610506,5.778038,5.935027,6.180443,6.251814,6.321436,6.361411,6.368386,6.340142,6.273999,6.26909,6.348301,6.338326,6.414352,6.408064,6.419553,6.364494,6.374435,6.420742,6.478814,6.537189,6.579751,6.623347,6.654109,6.723033,6.744632,6.87648,"1.6%"
East South Central,"Natural Gas Delivered: Electric Power: East South Central": Reference case,78-AEO2017.41.ref2017-d120816a,"2016 $/Mcf",3.039899,2.970518,3.578214,3.953362,4.365658,4.783904,4.750448,4.681482,4.713798,4.806983,4.932772,5.061445,5.218605,5.34477,5.454764,5.483859,5.554247,5.546648,5.47022,5.452521,5.537612,5.524083,5.531093,5.522738,5.543699,5.493975,5.5007,5.564424,5.669748,5.741566,5.843268,5.90699,5.961906,6.049619,6.076445,6.171565,"2.2%"
West South Central,"Natural Gas Delivered: Electric Power: West South Central": Reference case,78-AEO2017.42.ref2017-d120816a,"2016 $/Mcf",2.942915,2.561572,3.193988,3.547762,4.035624,4.498312,4.423702,4.292434,4.292604,4.407267,4.509218,4.67632,4.805059,4.926883,5.036417,5.077489,5.126166,5.127846,5.067894,5.067801,5.158839,5.158352,5.17338,5.183507,5.233186,5.215688,5.236732,5.321436,5.438704,5.509388,5.6097,5.690054,5.783586,5.924726,5.968465,6.057309,"2.6%"
Mountain,"Natural Gas Delivered: Electric Power: Mountain": Reference case,78-AEO2017.43.ref2017-d120816a,"2016 $/Mcf",3.398186,3.041848,3.780514,4.103331,4.415894,4.518592,4.525188,4.366206,4.360532,4.471468,4.767379,4.956205,4.990034,5.008642,5.049804,5.008232,4.968105,4.973567,4.950255,4.967609,5.0053,5.042149,5.094148,5.096534,5.128775,5.186732,5.173497,5.231501,5.285254,5.415876,5.523204,5.605337,5.720521,5.914371,6.036955,6.15712,"2.1%"
Pacific,"Natural Gas Delivered: Electric Power: Pacific": Reference case,78-AEO2017.44.ref2017-d120816a,"2016 $/Mcf",3.425747,2.928057,3.811204,4.183076,4.479798,4.568871,4.576309,4.51753,4.427309,4.463737,4.83567,5.107502,5.095905,5.169627,5.228377,5.20279,5.184077,5.191133,5.173,5.204704,5.260407,5.303169,5.309416,5.297464,5.312073,5.319337,5.309883,5.347527,5.417068,5.509406,5.605815,5.678446,5.750802,5.920114,6.028324,6.145872,"2.2%"
Transportation,"Natural Gas Delivered: Transportation: Average": Reference case,78-AEO2017.46.ref2017-d120816a,"2016 $/Mcf",16.952873,16.972929,17.314232,17.51256,17.717037,17.83988,17.703352,17.486153,17.285822,17.125076,16.96784,16.792038,16.94474,16.739548,16.56328,16.370079,16.243677,16.089916,15.905199,15.817431,15.820892,15.760672,15.72654,15.676926,15.646422,15.57667,15.546939,15.571307,15.622623,15.677656,15.742511,15.797436,15.851131,15.967615,16.012239,16.127388,"-0.2%"
New England,"Natural Gas Delivered: Transportation: New England": Reference case,78-AEO2017.47.ref2017-d120816a,"2016 $/Mcf",20.008305,19.528259,19.586149,19.641399,19.916019,20.186171,20.239759,20.25379,20.244173,20.204374,20.110285,19.954084,19.859093,19.800081,19.75951,19.678379,19.528822,19.418446,19.277267,19.24399,19.289532,19.243582,19.206673,19.137762,19.075758,18.949183,18.896442,18.847631,18.844675,18.861559,18.892488,18.924181,18.925367,18.927513,18.922752,18.907881,"-0.1%"
Middle Atlantic,"Natural Gas Delivered: Transportation: Middle Atlantic": Reference case,78-AEO2017.48.ref2017-d120816a,"2016 $/Mcf",17.069414,16.563353,16.453604,16.593979,16.85158,17.18351,17.248011,17.27446,17.236744,17.1632,17.003405,16.803286,16.712357,16.656845,16.626577,16.574806,16.493177,16.450199,16.390236,16.452459,16.630461,16.682915,16.707832,16.747395,16.755819,16.664951,16.655981,16.695477,16.739803,16.825638,16.919615,17.000122,17.011662,17.041241,17.051735,17.164698,"0.1%"
East North Central,"Natural Gas Delivered: Transportation: East North Central": Reference case,78-AEO2017.49.ref2017-d120816a,"2016 $/Mcf",16.075544,16.275002,16.649481,16.790852,16.898962,17.032953,16.905384,16.668785,16.460798,16.272343,16.049849,15.828312,15.704172,15.607073,15.484745,15.31712,15.162371,15.020015,14.831932,14.787421,14.899018,14.841324,14.808597,14.758451,14.742871,14.634465,14.603361,14.642583,14.704805,14.746628,14.807393,14.846755,14.910227,15.035958,15.057095,15.174449,"-0.2%"
West North Central,"Natural Gas Delivered: Transportation: West North Central": Reference case,78-AEO2017.50.ref2017-d120816a,"2016 $/Mcf",17.794886,17.727289,18.254589,18.544933,18.829382,18.981804,18.761841,18.406393,18.106602,17.84824,17.546215,17.259378,16.948128,16.717747,16.506504,16.274105,16.089903,15.906053,15.685014,15.538753,15.554177,15.480305,15.420935,15.367188,15.357457,15.300961,15.29265,15.344565,15.452456,15.513217,15.618253,15.7101,15.824553,15.999994,16.026196,16.172277,"-0.3%"
South Atlantic,"Natural Gas Delivered: Transportation: South Atlantic": Reference case,78-AEO2017.51.ref2017-d120816a,"2016 $/Mcf",15.966784,16.417675,16.574686,16.601198,16.615213,16.64443,16.580002,16.516018,16.364941,16.345575,16.257378,16.177273,16.26746,16.091696,15.948714,15.846889,15.693252,15.546118,15.37772,15.294294,15.289482,15.227084,15.298017,15.256374,15.221336,15.1205,15.119476,15.119483,15.136086,15.157932,15.159308,15.180581,15.172476,15.208905,15.213507,15.363022,"-0.2%"
East South Central,"Natural Gas Delivered: Transportation: East South Central": Reference case,78-AEO2017.52.ref2017-d120816a,"2016 $/Mcf",18.281935,18.495176,18.81778,19.117912,19.4184,19.678392,19.439432,19.122068,18.897552,18.674255,18.405546,18.138721,17.868946,17.590475,17.35718,17.099213,16.926579,16.717371,16.457508,16.290285,16.233793,16.109528,16.010406,15.918984,15.855056,15.760811,15.713327,15.735733,15.805935,15.849841,15.932953,15.980999,16.027393,16.114077,16.142809,16.246878,"-0.4%"
West South Central,"Natural Gas Delivered: Transportation: West South Central": Reference case,78-AEO2017.53.ref2017-d120816a,"2016 $/Mcf",16.338655,16.164515,16.599615,16.891186,17.266939,17.564535,17.294357,16.948772,16.72374,16.548717,16.318914,16.14241,15.934421,15.736517,15.580082,15.404864,15.284822,15.136606,14.941171,14.82934,14.818613,14.738996,14.67637,14.624914,14.61757,14.563868,14.547017,14.598639,14.690212,14.74048,14.822689,14.892842,14.979853,15.117595,15.156521,15.25118,"-0.2%"
Mountain,"Natural Gas Delivered: Transportation: Mountain": Reference case,78-AEO2017.54.ref2017-d120816a,"2016 $/Mcf",15.801803,15.799063,16.318142,16.572069,16.682404,16.526218,16.264086,15.842628,15.505182,15.222315,15.108019,14.931134,14.572845,14.298285,14.095352,13.866012,13.694684,13.586806,13.465234,13.417226,13.381397,13.353222,13.330198,13.312226,13.312123,13.331289,13.307682,13.355198,13.40763,13.527114,13.624475,13.710131,13.806365,14.01196,14.154542,14.281227,"-0.3%"
Pacific,"Natural Gas Delivered: Transportation: Pacific": Reference case,78-AEO2017.55.ref2017-d120816a,"2016 $/Mcf",18.371834,18.436541,19.042631,19.421951,19.685616,19.65221,19.596889,19.449625,19.301762,19.20941,19.381088,19.432108,21.938702,21.772514,21.61224,21.390957,21.587404,21.423899,21.252728,21.138531,21.053673,20.984858,20.885239,20.773407,20.704655,20.633987,20.544262,20.519838,20.524618,20.564251,20.60503,20.625004,20.648031,20.782541,20.858614,20.934633,"0.4%"
All Sectors,"Natural Gas Delivered: All Sectors: Average": Reference case,78-AEO2017.57.ref2017-d120816a,"2016 $/Mcf",5.516082,5.071229,5.746667,6.05844,6.474817,6.910061,6.97619,6.977092,7.015059,7.106428,7.210283,7.312306,7.514693,7.613324,7.699515,7.735108,7.789381,7.785094,7.742892,7.753871,7.851944,7.877051,7.902466,7.904029,7.933916,7.897694,7.911167,7.973746,8.066868,8.1373,8.220192,8.28944,8.355827,8.474734,8.52352,8.614839,"1.6%"
New England,"Natural Gas Delivered: All Sectors: New England": Reference case,78-AEO2017.58.ref2017-d120816a,"2016 $/Mcf",8.10148,6.847235,7.123344,7.588783,8.012802,8.432493,8.778752,9.130441,9.29899,9.329953,9.271879,9.222914,9.198832,9.296587,9.45045,9.552911,9.610785,9.623652,9.635794,9.766715,9.912357,9.969501,10.038219,10.128679,10.218777,10.24773,10.303844,10.420029,10.453082,10.635942,10.77636,10.851562,10.901153,10.996273,11.028249,10.972131,"1.4%"
Middle Atlantic,"Natural Gas Delivered: All Sectors: Middle Atlantic": Reference case,78-AEO2017.59.ref2017-d120816a,"2016 $/Mcf",6.765414,6.086634,6.221243,6.418399,6.813237,7.297608,7.510085,7.696895,7.79614,7.838521,7.78109,7.706437,7.720892,7.860369,7.977862,8.054591,8.10819,8.155075,8.170704,8.264286,8.429853,8.524829,8.610078,8.695902,8.788262,8.73937,8.795981,8.828222,8.912426,8.995571,9.107256,9.22429,9.250066,9.303572,9.333961,9.43047,"1.3%"
