"Oil and Gas Supply"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=14-AEO2017&cases=ref2017&sourcekey=0"
"Thu Oct 25 2018 11:19:25 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
State,"Oil and Gas: Crude Oil: Production: Lower 48 Offshore: State": Reference case,14-AEO2017.14.ref2017-d120816a,"MMb/d",0.070732,0.070726,0.070721,0.065874,0.061353,0.057573,0.054347,0.051551,0.049095,0.046915,0.044964,0.043203,0.041604,0.040145,0.038806,0.037572,0.036431,0.035372,0.034385,0.033464,0.032602,0.031793,0.031031,0.030314,0.029636,0.028995,0.028388,0.027811,0.027263,0.026742,0.026245,0.02566,0.0251,0.024565,0.024053,0.023562,"-3.2%"
Federal,"Oil and Gas: Crude Oil: Production: Lower 48 Offshore: Federal": Reference case,14-AEO2017.15.ref2017-d120816a,"MMb/d",1.536268,1.651103,1.844698,1.899003,1.971118,1.990481,1.910282,1.833607,1.882002,1.809007,1.73439,1.68599,1.642296,1.604709,1.561417,1.522532,1.484157,1.454703,1.44895,1.43562,1.484043,1.466997,1.511611,1.512326,1.463186,1.464566,1.473522,1.450252,1.45389,1.433696,1.399783,1.415574,1.393969,1.387165,1.388741,1.403093,"-0.5%"
Alaska,"Oil and Gas: Crude Oil: Production: Alaska": Reference case,14-AEO2017.16.ref2017-d120816a,"MMb/d",0.483,0.475924,0.459472,0.46,0.441577,0.431217,0.487391,0.524264,0.531356,0.536687,0.542669,0.625144,0.633807,0.621611,0.604704,0.598306,0.591492,0.582893,0.564007,0.546919,0.526484,0.508043,0.491364,0.476247,0.462515,0.474671,0.487923,0.477446,0.45435,0.427177,0.399047,0.375186,0.35535,0.33862,0.320413,0.296514,"-1.4%"
Onshore,"Oil and Gas: Crude Oil: Production: Alaska: Onshore": Reference case,14-AEO2017.17.ref2017-d120816a,"MMb/d",0.384247,0.400213,0.383092,0.322709,0.307769,0.300631,0.346643,0.379443,0.389118,0.386993,0.382071,0.377469,0.373157,0.366231,0.354866,0.343432,0.326522,0.311131,0.297098,0.284278,0.272544,0.261783,0.251896,0.242794,0.234397,0.251295,0.268766,0.262198,0.246472,0.232314,0.21955,0.208024,0.197597,0.18815,0.179574,0.171775,"-2.5%"
State Offshore,"Oil and Gas: Crude Oil: Production: Alaska: State Offshore": Reference case,14-AEO2017.18.ref2017-d120816a,"MMb/d",0.096553,0.072791,0.07342,0.134157,0.131054,0.128165,0.13862,0.142951,0.140594,0.148249,0.159328,0.246559,0.259669,0.254517,0.24908,0.241879,0.235617,0.230151,0.225361,0.221147,0.217426,0.214127,0.211192,0.208571,0.206221,0.204108,0.202201,0.200327,0.194748,0.183308,0.169329,0.158215,0.149879,0.143542,0.134742,0.119374,"1.5%"
Federal Offshore,"Oil and Gas: Crude Oil: Production: Alaska: Federal Offshore": Reference case,14-AEO2017.19.ref2017-d120816a,"MMb/d",0.0022,0.00292,0.00296,0.003133,0.002754,0.002421,0.002128,0.001871,0.001644,0.001445,0.00127,0.001117,0.000982,0.000863,0.000758,0.012995,0.029353,0.041611,0.041549,0.041494,0.036514,0.032132,0.028276,0.024883,0.021896,0.019269,0.016956,0.014921,0.013131,0.011555,0.010168,0.008948,0.007874,0.006929,0.006098,0.005366,"1.8%"
Natural Gas Plant Liquids Production,,14-AEO2017.21.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(million barrels per day),,14-AEO2017.22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Total,"Oil and Gas: Natural Gas Plant Liquids: United States Total": Reference case,14-AEO2017.23.ref2017-d120816a,"MMb/d",3.272,3.53,3.822368,4.181172,4.486276,4.662573,4.808772,4.784395,4.765532,4.778049,4.821346,4.83465,4.80488,4.789454,4.801494,4.816286,4.755696,4.744688,4.749377,4.753015,4.758519,4.774267,4.781638,4.793549,4.746961,4.761674,4.747779,4.752027,4.754006,4.761609,4.764833,4.748089,4.741977,4.69025,4.700727,4.710835,"0.9%"
Lower 48 Onshore,"Oil and Gas: Natural Gas Plant Liquids: Lower 48 Onshore": Reference case,14-AEO2017.24.ref2017-d120816a,"MMb/d",2.877982,3.087782,3.345436,3.608267,3.91147,4.090726,4.266287,4.266859,4.267108,4.286465,4.329863,4.338341,4.313392,4.301945,4.32404,4.349713,4.288484,4.271625,4.266698,4.263124,4.251765,4.263056,4.252675,4.263813,4.234446,4.242981,4.219155,4.22241,4.222682,4.234357,4.251352,4.253702,4.271235,4.231976,4.227677,4.233442,"0.9%"
Lower 48 Offshore,"Oil and Gas: Natural Gas Plant Liquids: Lower 48 Offshore": Reference case,14-AEO2017.25.ref2017-d120816a,"MMb/d",0.364318,0.409818,0.443182,0.526905,0.530649,0.528725,0.493746,0.46511,0.445287,0.437915,0.437216,0.433795,0.428107,0.425348,0.416983,0.406742,0.408063,0.414774,0.426278,0.435199,0.454105,0.460407,0.479826,0.482111,0.466263,0.471226,0.479831,0.481872,0.485889,0.484534,0.473577,0.456868,0.435207,0.424412,0.441009,0.447741,"0.3%"
Alaska,"Oil and Gas: Natural Gas Plant Liquids: Alaska": Reference case,14-AEO2017.26.ref2017-d120816a,"MMb/d",0.0297,0.0324,0.03375,0.046,0.044158,0.043122,0.048739,0.052426,0.053136,0.053669,0.054267,0.062514,0.063381,0.062161,0.06047,0.059831,0.059149,0.058289,0.056401,0.054692,0.052648,0.050804,0.049136,0.047625,0.046252,0.047467,0.048792,0.047745,0.045435,0.042718,0.039905,0.037519,0.035535,0.033862,0.032041,0.029651,"-0.3%"
Natural Gas,,14-AEO2017.28.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices (2016 dollars per million Btu),,14-AEO2017.30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Hub Spot Price,"Oil and Gas: Natural Gas: Henry Hub Spot Price": Reference case,14-AEO2017.31.ref2017-d120816a,"2016 $/MMBtu",2.65714,2.500707,2.995931,3.403222,3.964807,4.505039,4.391413,4.255652,4.280964,4.413484,4.505631,4.641376,4.752409,4.863319,4.962029,5.004542,5.105417,5.106509,5.02927,5.004105,5.090952,5.071395,5.071714,5.054315,5.081584,5.066741,5.086185,5.179222,5.309446,5.3599,5.430734,5.493236,5.570147,5.69138,5.745223,5.82896,"2.5%"
Dry Production (trillion cubic feet),,14-AEO2017.33.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Total,"Oil and Gas: Natural Gas Dry Production: United States Total": Reference case,14-AEO2017.34.ref2017-d120816a,"Tcf",27.032408,26.526796,27.853464,29.111032,30.073811,30.789673,30.96888,31.252716,31.75515,32.412571,33.056782,33.640358,33.992256,34.319324,34.646957,34.910324,34.961174,35.246841,35.484852,35.976334,36.524899,36.725067,37.065723,37.351112,37.592625,37.738369,37.968372,38.17017,38.323059,38.590199,38.874939,39.125664,39.415764,39.625961,39.833694,40.276737,"1.2%"
Lower 48 Onshore,"Oil and Gas: Natural Gas Dry Production: Lower 48 Onshore": Reference case,14-AEO2017.35.ref2017-d120816a,"Tcf",25.393795,24.475821,25.851816,27.001856,27.987442,28.72884,29.021944,29.406855,29.982853,30.676785,31.324932,31.902876,32.276657,32.60495,32.944668,33.233807,33.273712,33.54245,33.735546,34.199425,34.667194,34.838001,35.095352,35.37215,35.660625,35.790867,35.996502,36.205208,36.358994,36.641159,36.964493,37.253891,37.612907,37.858944,38.018456,38.427864,"1.3%"
Tight Gas,"Oil and Gas: Natural Gas Dry Production: Lower 48 Onshore: Tight gas": Reference case,14-AEO2017.36.ref2017-d120816a,"Tcf",4.645926,4.673412,4.832833,4.900354,4.887149,4.827415,4.69088,4.639644,4.654756,4.697404,4.747776,4.770852,4.743178,4.754734,4.819698,4.882006,4.963437,5.101447,5.23853,5.388129,5.50801,5.55587,5.622366,5.659775,5.715449,5.780136,5.835728,5.903636,5.966195,6.0495,6.130876,6.196187,6.270742,6.353745,6.400446,6.452265,"1.0%"
Shale Gas and Tight Oil Plays,"Oil and Gas: Natural Gas Dry Production: Lower 48 Onshore: Shale gas": Reference case,14-AEO2017.37.ref2017-d120816a,"Tcf",13.530001,14.079,14.624481,15.699615,16.731447,17.616817,18.29738,18.870512,19.480083,20.162479,20.817747,21.418482,21.866102,22.223131,22.569738,22.893343,22.966188,23.216381,23.370588,23.735714,24.117523,24.341721,24.588669,24.88579,25.165442,25.276091,25.447865,25.600828,25.714029,25.94594,26.236614,26.498789,26.795664,26.955601,27.085522,27.44635,"2.0%"
Coalbed Methane,"Oil and Gas: Natural Gas Dry Production: Lower 48 Onshore: Coalbed methane": Reference case,14-AEO2017.38.ref2017-d120816a,"Tcf",1.00764,1.137207,1.049381,1.066273,1.07396,1.065195,1.044454,1.030018,1.028975,1.038815,1.048057,1.051463,1.042937,1.044084,1.04113,1.028391,1.015148,0.988299,0.972096,0.960642,0.954155,0.934513,0.923704,0.90902,0.889087,0.869477,0.85566,0.847353,0.844513,0.843309,0.811872,0.804546,0.802056,0.788492,0.787789,0.789662,"-1.1%"
Other,"Oil and Gas: Natural Gas Dry Production: Lower 48 Onshore: Other": Reference case,14-AEO2017.39.ref2017-d120816a,"Tcf",6.210224,4.586201,5.345119,5.335615,5.294884,5.21941,4.989228,4.866681,4.819036,4.778087,4.711349,4.662078,4.624437,4.582998,4.514106,4.430064,4.328938,4.236322,4.154328,4.114935,4.087503,4.005893,3.960614,3.917565,3.89065,3.865162,3.857248,3.853392,3.834252,3.80241,3.785131,3.754369,3.744445,3.761102,3.744696,3.739585,"-0.6%"
Lower 48 Offshore,"Oil and Gas: Natural Gas Dry Production: Lower 48 Offshore": Reference case,14-AEO2017.40.ref2017-d120816a,"Tcf",1.309405,1.75362,1.704643,1.814056,1.792249,1.767239,1.643502,1.539955,1.465772,1.428156,1.423275,1.415964,1.397563,1.396482,1.386488,1.360438,1.37211,1.389616,1.436793,1.465582,1.548458,1.579196,1.663921,1.673668,1.627764,1.640353,1.663255,1.658024,1.659608,1.647319,1.611478,1.574889,1.507729,1.473321,1.523316,1.559457,"-0.3%"
State,"Oil and Gas: Natural Gas Dry Production: Lower 48 Offshore: State": Reference case,14-AEO2017.41.ref2017-d120816a,"Tcf",0.1044,0.138192,0.133937,0.106525,0.088284,0.075584,0.066214,0.059006,0.053284,0.048627,0.044762,0.041502,0.038713,0.0363,0.034192,0.032333,0.030682,0.029206,0.027878,0.026677,0.025585,0.024588,0.023674,0.022834,0.022058,0.02134,0.020673,0.020051,0.019472,0.018929,0.018421,0.017865,0.017342,0.016849,0.016383,0.015943,"-6.2%"
Federal,"Oil and Gas: Natural Gas Dry Production: Lower 48 Offshore: Federal": Reference case,14-AEO2017.42.ref2017-d120816a,"Tcf",1.205005,1.615427,1.570705,1.707531,1.703965,1.691654,1.577287,1.480949,1.412488,1.379529,1.378513,1.374463,1.35885,1.360182,1.352296,1.328104,1.341428,1.36041,1.408916,1.438905,1.522874,1.554608,1.640247,1.650834,1.605706,1.619013,1.642583,1.637972,1.640136,1.62839,1.593057,1.557024,1.490387,1.456471,1.506933,1.543515,"-0.1%"
Alaska,"Oil and Gas: Natural Gas Dry Production: Alaska": Reference case,14-AEO2017.43.ref2017-d120816a,"Tcf",0.32921,0.297356,0.297006,0.29512,0.294117,0.293593,0.303434,0.305905,0.306525,0.307631,0.308577,0.32152,0.318038,0.317896,0.315799,0.316083,0.315346,0.314774,0.312516,0.311326,0.309245,0.307872,0.306449,0.305292,0.304236,0.307147,0.308618,0.306938,0.304461,0.30172,0.298968,0.296878,0.295125,0.293697,0.291921,0.289415,"-0.1%"
Supplemental Gas Supplies (tcf),"Oil and Gas: Natural Gas: Supplemental Gas Supplies": Reference case,14-AEO2017.48.ref2017-d120816a,"Tcf",0.058625,0.054899,0.058397,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,0.062138,"0.4%"
Total Lower 48 Wells Drilled (thousands),"Oil and Gas: Natural Gas: Total Lower 48 Wells Drilled": Reference case,14-AEO2017.50.ref2017-d120816a,"thousands",30.380501,30.062433,26.849384,29.150723,30.425587,31.305588,31.697973,31.944307,32.333782,33.145607,33.789146,34.391769,34.872864,35.332794,35.89043,36.107563,36.154461,36.602818,36.661247,37.005466,37.25061,37.10804,37.597366,37.987564,38.474552,38.453739,38.653435,39.153267,39.338863,39.669777,39.876804,39.91201,40.068508,40.13129,39.620712,39.877453,"0.8%" 
