"Natural Gas Imports and Exports"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=76-AEO2017&region=0-0&cases=ref2017&start=2015&end=2050&f=A&linechart=ref2017-d120816a.22-76-AEO2017&ctype=linechart&sourcekey=0"
"Sun Nov 11 2018 23:49:16 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Net Imports,"Natural Gas: Volumes: Net Imports": Reference case,76-AEO2017.12.ref2017-d120816a,"Tcf",0.934834,0.93847,0.294098,-0.775107,-2.054759,-3.362555,-3.659236,-3.954463,-4.297984,-4.527281,-4.704935,-4.869686,-5.083263,-5.178943,-5.260186,-5.356051,-5.435106,-5.498057,-5.589038,-5.67252,-5.752235,-5.77933,-5.785297,-5.767263,-5.746375,-5.726941,-5.693184,-5.672016,-5.643035,-5.618318,-5.588557,-5.572824,-5.558868,-5.561586,-5.580347,-5.560638,"- -"
Canada,"Natural Gas: Volumes: Net Imports: Canada": Reference case,76-AEO2017.13.ref2017-d120816a,"Tcf",1.925439,2.195013,1.930148,1.751094,1.499826,1.322142,1.162979,1.022619,0.873347,0.821198,0.756508,0.702234,0.599329,0.547816,0.444864,0.395167,0.360954,0.346787,0.309392,0.278411,0.244588,0.202547,0.181269,0.185056,0.189495,0.197146,0.214939,0.215395,0.221504,0.226159,0.23623,0.231616,0.223914,0.195004,0.155133,0.153078,"-7.5%"
Mexico,"Natural Gas: Volumes: Net Imports: Mexico": Reference case,76-AEO2017.14.ref2017-d120816a,"Tcf",-1.053534,-1.165081,-1.17615,-1.581802,-1.744985,-1.826197,-1.840715,-1.862248,-1.856497,-1.833646,-1.813276,-1.79042,-1.767759,-1.745259,-1.72355,-1.703052,-1.681227,-1.663344,-1.650263,-1.636097,-1.615323,-1.600376,-1.585066,-1.57082,-1.55437,-1.542586,-1.526624,-1.505911,-1.483039,-1.462977,-1.443287,-1.422939,-1.401282,-1.37509,-1.35398,-1.332216,"0.4%"
Bahamas,"Natural Gas: Volumes: Net Imports: Bahamas": Reference case,76-AEO2017.15.ref2017-d120816a,"Tcf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Liquefied Natural Gas,"Natural Gas: Volumes: Net Imports: Liquefied Natural Gas": Reference case,76-AEO2017.16.ref2017-d120816a,"Tcf",0.062929,-0.091462,-0.4599,-0.9444,-1.8096,-2.8585,-2.9815,-3.114834,-3.314833,-3.514833,-3.648167,-3.7815,-3.914833,-3.9815,-3.9815,-4.048167,-4.114833,-4.1815,-4.248168,-4.314834,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,-4.3815,"12.1%"
Border Prices,,76-AEO2017.18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2016 dollars per thousand cubic feet),,76-AEO2017.19.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Import Price,"Natural Gas: Border Prices: Average Import Price": Reference case,76-AEO2017.20.ref2017-d120816a,"2016 $/Mcf",3.043996,2.619098,3.66161,4.106142,4.471838,4.662876,4.719722,4.746239,4.833823,4.883455,5.07688,5.222492,5.226933,5.371159,5.583955,5.610001,5.580413,5.56987,5.556823,5.60574,5.748734,5.832456,5.823713,5.735617,5.685289,5.626414,5.621285,5.657528,5.734966,5.82542,5.954939,6.03808,6.135075,6.283627,6.402483,6.241149,"2.6%"
Pipeline Import Prices,,76-AEO2017.21.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Canada,"Natural Gas: Border Prices: Pipeline Import Prices: From Canada": Reference case,76-AEO2017.22.ref2017-d120816a,"2016 $/Mcf",2.891109,2.517271,3.58388,4.031595,4.398357,4.589291,4.638831,4.657393,4.739215,4.786348,4.98379,5.13394,5.132369,5.276387,5.488508,5.511135,5.479485,5.467756,5.453664,5.499537,5.639388,5.721432,5.708133,5.615049,5.56145,5.501775,5.49569,5.53147,5.609391,5.699515,5.830351,5.912728,6.011569,6.163085,6.284163,6.118418,"2.6%"
From Mexico,"Natural Gas: Border Prices: Pipeline Import Prices: From Mexico": Reference case,76-AEO2017.23.ref2017-d120816a,"2016 $/Mcf",1.735982,1.919368,2.401511,2.720717,3.222582,3.773285,3.682482,3.543249,3.554245,3.666672,3.756513,3.888832,4.004878,4.113893,4.208776,4.246904,4.331149,4.327253,4.260787,4.238787,4.318147,4.29991,4.299793,4.284597,4.309013,4.291544,4.314137,4.39251,4.507621,4.564028,4.642159,4.704144,4.788889,4.927896,4.983024,5.062666,"2.9%"
From Bahamas,"Natural Gas: Border Prices: Pipeline Import Prices: From Bahamas": Reference case,76-AEO2017.24.ref2017-d120816a,"2016 $/Mcf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
LNG Price (including regasification),"Natural Gas: Border Prices: Pipeline Import Prices: Liquefied Natural Gas": Reference case,76-AEO2017.25.ref2017-d120816a,"2016 $/Mcf",7.466291,6.326093,6.503469,6.651851,7.080537,7.480918,7.622404,7.739565,7.812833,7.861063,7.871907,7.840175,7.881909,7.973398,8.075644,8.117967,8.083263,8.0853,8.057314,8.139606,8.282266,8.330885,8.390775,8.419065,8.44552,8.403362,8.432703,8.469987,8.538441,8.636739,8.74017,8.830913,8.883877,8.945803,8.989532,8.927301,"1.0%" 
